region,sexo,edad,s4,s5,yoprcor,yoprcorh,o10,o26,e6a
15.0,1.0,44.0,1.0,19.0,300000.0,300000.0,40.0,2.0,2.0
15.0,1.0,36.0,0.0,0.0,300000.0,300000.0,55.0,2.0,2.0
15.0,2.0,65.0,4.0,18.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,39.0,2.0,34.0,300000.0,300000.0,44.0,2.0,3.0
15.0,1.0,39.0,2.0,34.0,258824.0,258824.0,60.0,2.0,2.0
15.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,33.0,1.0,22.0,400000.0,400000.0,40.0,2.0,3.0
15.0,1.0,35.0,1.0,24.0,641556.0,641556.0,44.0,2.0,3.0
15.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,95.0,2.0,25.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,63.0,8.0,16.0,150000.0,150000.0,60.0,2.0,1.0
15.0,1.0,20.0,0.0,0.0,321692.0,321692.0,44.0,2.0,3.0
15.0,1.0,28.0,0.0,0.0,641556.0,641556.0,44.0,2.0,3.0
15.0,1.0,30.0,0.0,0.0,641556.0,641556.0,44.0,2.0,3.0
15.0,2.0,72.0,4.0,24.0,0.0,0.0,0.0,0.0,3.0
15.0,2.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,1.0,31.0,1.0,30.0,0.0,0.0,0.0,0.0,3.0
15.0,2.0,32.0,1.0,31.0,440000.0,440000.0,50.0,2.0,3.0
15.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,25.0,1.0,20.0,350000.0,350000.0,45.0,2.0,2.0
15.0,1.0,27.0,2.0,22.0,820000.0,820000.0,45.0,2.0,2.0
15.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,69.0,2.0,31.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,61.0,1.0,38.0,600000.0,600000.0,45.0,2.0,1.0
15.0,1.0,25.0,1.0,22.0,435000.0,435000.0,44.0,2.0,2.0
15.0,2.0,23.0,1.0,20.0,0.0,0.0,0.0,0.0,2.0
15.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,63.0,7.0,15.0,150000.0,150000.0,6.0,2.0,1.0
15.0,1.0,77.0,4.0,16.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,63.0,3.0,24.0,400000.0,400000.0,40.0,1.0,2.0
15.0,1.0,39.0,0.0,0.0,0.0,0.0,30.0,2.0,2.0
15.0,1.0,36.0,0.0,0.0,200000.0,200000.0,30.0,2.0,2.0
15.0,1.0,34.0,1.0,19.0,400000.0,400000.0,60.0,2.0,3.0
15.0,1.0,55.0,4.0,99.0,400000.0,400000.0,40.0,2.0,2.0
15.0,2.0,52.0,3.0,99.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,2.0,54.0,0.0,0.0,270000.0,270000.0,48.0,2.0,3.0
15.0,2.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,21.0,1.0,17.0,310000.0,310000.0,44.0,2.0,3.0
15.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,1.0,82.0,2.0,99.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,81.0,2.0,99.0,0.0,0.0,0.0,0.0,1.0
15.0,1.0,57.0,0.0,0.0,800000.0,800000.0,45.0,2.0,3.0
15.0,2.0,75.0,4.0,99.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,83.0,4.0,99.0,0.0,0.0,0.0,0.0,2.0
15.0,1.0,30.0,0.0,0.0,498718.0,498718.0,40.0,2.0,3.0
15.0,1.0,81.0,3.0,23.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,78.0,3.0,20.0,0.0,0.0,0.0,0.0,1.0
15.0,2.0,36.0,0.0,0.0,300000.0,300000.0,44.0,2.0,3.0
15.0,2.0,66.0,2.0,21.0,0.0,0.0,0.0,0.0,2.0
