region,sexo,edad,s7,s8,ytrabaj,ytrabhaj,o10,o27,e6a,e6b
1,1,44,0.0,0.0,1051377.0,1051377,54.0,2.0,3,1
1,2,39,3.0,16.0,0.0,1051377,0.0,0.0,2,1
1,2,6,0.0,0.0,0.0,1051377,0.0,0.0,1,2
1,2,6,0.0,0.0,0.0,1051377,0.0,0.0,1,2
1,2,45,2.0,23.0,203315.0,379155,45.0,2.0,2,2
1,1,20,0.0,0.0,0.0,379155,0.0,0.0,2,2
1,1,26,0.0,0.0,175840.0,379155,45.0,2.0,2,2
1,2,65,4.0,15.0,0.0,769300,0.0,0.0,2,1
1,1,30,0.0,0.0,384650.0,769300,45.0,2.0,2,1
1,1,33,0.0,0.0,384650.0,769300,45.0,2.0,2,1
1,1,81,0.0,0.0,0.0,0,0.0,0.0,2,2
1,2,77,2.0,28.0,0.0,0,0.0,0.0,2,2
1,1,60,0.0,0.0,1025500.0,1300250,12.0,2.0,2,1
1,2,58,2.0,22.0,0.0,1300250,0.0,0.0,2,1
1,2,23,0.0,0.0,0.0,1300250,0.0,0.0,3,2
1,1,7,0.0,0.0,0.0,1300250,0.0,0.0,1,2
1,2,32,1.0,21.0,274750.0,1300250,48.0,2.0,3,2
1,1,11,0.0,0.0,0.0,1300250,0.0,0.0,1,2
1,1,58,0.0,0.0,615300.0,813120,30.0,2.0,3,1
1,2,45,1.0,18.0,197820.0,813120,45.0,2.0,2,1
1,1,55,0.0,0.0,287140.0,287140,72.0,2.0,1,1
1,1,26,0.0,0.0,410200.0,820400,70.0,2.0,3,1
1,2,36,3.0,15.0,410200.0,820400,70.0,2.0,2,1
1,1,56,0.0,0.0,164080.0,266630,84.0,2.0,2,2
1,2,54,5.0,19.0,102550.0,266630,35.0,2.0,2,2
1,2,39,2.0,20.0,329700.0,1978200,45.0,2.0,3,1
1,2,13,0.0,0.0,0.0,1978200,0.0,0.0,1,2
1,1,39,0.0,0.0,549500.0,1978200,45.0,2.0,3,1
1,2,20,0.0,0.0,0.0,1978200,0.0,0.0,3,2
1,2,50,0.0,0.0,1099000.0,1978200,50.0,2.0,3,1
1,2,20,0.0,0.0,0.0,1978200,0.0,0.0,3,2
1,1,43,0.0,0.0,1433280.0,1817930,54.0,2.0,3,1
1,2,42,3.0,26.0,0.0,1817930,0.0,0.0,3,1
1,2,15,0.0,0.0,0.0,1817930,0.0,0.0,2,2
1,1,12,0.0,0.0,0.0,1817930,0.0,0.0,1,2
1,2,9,0.0,0.0,0.0,1817930,0.0,0.0,1,2
1,1,41,0.0,0.0,384650.0,1817930,40.0,2.0,2,1
1,1,21,0.0,0.0,175840.0,175840,29.0,2.0,2,2
1,1,52,0.0,0.0,615300.0,1142750,85.0,2.0,2,1
1,2,57,1.0,31.0,307650.0,1142750,72.0,2.0,2,1
1,2,26,0.0,0.0,219800.0,1142750,45.0,2.0,2,1
1,1,84,0.0,0.0,0.0,410200,0.0,0.0,1,2
1,2,82,4.0,21.0,0.0,410200,0.0,0.0,1,2
1,1,56,0.0,0.0,410200.0,410200,50.0,2.0,2,2
1,1,38,0.0,0.0,0.0,410200,0.0,0.0,3,1
1,2,52,0.0,0.0,0.0,410200,0.0,0.0,1,2
1,1,51,0.0,0.0,0.0,0,0.0,0.0,1,2
1,2,25,1.0,24.0,0.0,0,0.0,0.0,2,1
1,1,0,0.0,0.0,0.0,0,0.0,0.0,1,7
1,1,34,0.0,0.0,876636.0,1286836,43.0,2.0,3,1
1,2,32,1.0,17.0,410200.0,1286836,40.0,2.0,2,1
1,2,13,0.0,0.0,0.0,1286836,0.0,0.0,1,2
1,1,56,0.0,0.0,0.0,690172,0.0,0.0,3,1
1,2,28,0.0,0.0,690172.0,690172,15.0,2.0,2,2
1,1,33,0.0,0.0,277498.0,499130,45.0,2.0,2,1
1,2,40,3.0,16.0,221632.0,499130,45.0,2.0,1,1
1,2,25,0.0,0.0,304418.0,676246,45.0,1.0,2,1
1,1,21,0.0,0.0,371828.0,676246,45.0,2.0,2,1
1,1,57,0.0,0.0,2256100.0,3085846,85.0,2.0,1,1
1,2,63,3.0,30.0,0.0,3085846,85.0,2.0,1,1
1,1,23,0.0,0.0,315963.0,3085846,40.0,2.0,3,2
1,2,30,2.0,26.0,197820.0,3085846,45.0,2.0,3,1
1,1,28,0.0,0.0,315963.0,3085846,17.0,2.0,3,2
1,1,4,0.0,0.0,0.0,3085846,0.0,0.0,1,7
1,1,1,0.0,0.0,0.0,3085846,0.0,0.0,1,7
1,1,28,0.0,0.0,1806938.0,2391698,45.0,2.0,3,1
1,2,24,1.0,24.0,584760.0,2391698,45.0,2.0,2,1
1,1,0,0.0,0.0,0.0,2391698,0.0,0.0,1,7
1,2,80,2.0,23.0,0.0,0,0.0,0.0,2,1
1,1,21,0.0,0.0,0.0,0,0.0,0.0,3,2
1,1,30,0.0,0.0,1485482.0,1485482,45.0,2.0,3,1
1,2,27,0.0,0.0,0.0,1485482,0.0,0.0,2,1
1,2,39,2.0,30.0,460851.0,1016949,45.0,2.0,3,1
1,1,39,0.0,0.0,556098.0,1016949,45.0,2.0,3,1
1,1,6,0.0,0.0,0.0,1016949,0.0,0.0,1,2
1,2,7,0.0,0.0,0.0,1016949,0.0,0.0,1,2
1,1,71,0.0,0.0,0.0,0,0.0,0.0,2,2
1,2,71,2.0,26.0,0.0,0,0.0,0.0,2,1
1,2,38,2.0,25.0,227127.0,1039104,45.0,2.0,2,1
1,1,36,0.0,0.0,811977.0,1039104,47.0,2.0,2,1
1,1,11,0.0,0.0,0.0,1039104,0.0,0.0,1,2
1,1,2,0.0,0.0,0.0,1039104,0.0,0.0,1,7
1,2,58,1.0,20.0,0.0,1039104,0.0,0.0,1,1
1,2,39,0.0,0.0,100000.0,1795207,0.0,0.0,3,1
1,1,31,0.0,0.0,1695207.0,1795207,40.0,2.0,3,1
1,1,35,0.0,0.0,1414047.0,1414047,45.0,2.0,3,1
1,2,31,2.0,22.0,0.0,1414047,0.0,0.0,3,1
1,1,9,0.0,0.0,0.0,1414047,0.0,0.0,1,2
1,1,1,0.0,0.0,0.0,1414047,0.0,0.0,1,7
1,2,35,3.0,16.0,274750.0,552248,45.0,2.0,2,1
1,1,36,0.0,0.0,277498.0,552248,45.0,2.0,2,2
1,2,14,0.0,0.0,0.0,552248,0.0,0.0,1,2
1,2,1,0.0,0.0,0.0,552248,0.0,0.0,1,7
1,1,57,0.0,0.0,0.0,395640,0.0,0.0,1,1
1,2,59,2.0,33.0,197820.0,395640,40.0,2.0,2,2
1,2,20,0.0,0.0,0.0,395640,0.0,0.0,3,2
1,2,24,3.0,18.0,0.0,395640,0.0,0.0,2,1
1,1,26,0.0,0.0,197820.0,395640,40.0,2.0,2,1
1,2,7,0.0,0.0,0.0,395640,0.0,0.0,1,2
1,2,4,0.0,0.0,0.0,395640,0.0,0.0,1,7
1,1,1,0.0,0.0,0.0,395640,0.0,0.0,1,7
1,2,73,7.0,14.0,0.0,906582,0.0,0.0,1,7
1,1,45,0.0,0.0,265592.0,906582,45.0,2.0,1,2
1,2,34,3.0,19.0,197820.0,906582,48.0,2.0,2,2
1,1,34,0.0,0.0,443170.0,906582,48.0,2.0,1,1
1,2,15,0.0,0.0,0.0,906582,0.0,0.0,2,2
1,1,6,0.0,0.0,0.0,906582,0.0,0.0,1,7
1,2,1,0.0,0.0,0.0,906582,0.0,0.0,1,7
1,2,71,3.0,22.0,0.0,0,0.0,0.0,1,1
1,2,54,2.0,18.0,512750.0,922950,40.0,2.0,2,2
1,2,33,2.0,19.0,410200.0,922950,40.0,2.0,2,1
1,1,14,0.0,0.0,0.0,922950,0.0,0.0,1,2
1,1,11,0.0,0.0,0.0,922950,0.0,0.0,1,2
1,2,50,5.0,18.0,369180.0,1287860,40.0,2.0,1,2
1,2,30,4.0,18.0,369180.0,1287860,40.0,2.0,2,2
1,2,12,0.0,0.0,0.0,1287860,0.0,0.0,1,2
1,2,10,0.0,0.0,0.0,1287860,0.0,0.0,1,2
1,2,1,0.0,0.0,0.0,1287860,0.0,0.0,1,7
1,2,7,0.0,0.0,0.0,1287860,0.0,0.0,1,2
1,1,24,0.0,0.0,549500.0,1287860,999.0,2.0,2,1
1,2,37,2.0,19.0,123060.0,123060,7.0,2.0,2,2
1,2,71,7.0,16.0,0.0,123060,0.0,0.0,1,1
1,1,18,0.0,0.0,0.0,123060,0.0,0.0,2,2
1,2,11,0.0,0.0,0.0,123060,0.0,0.0,1,2
1,2,58,5.0,25.0,123060.0,123060,10.0,2.0,2,2
1,1,18,0.0,0.0,0.0,123060,0.0,0.0,2,2
1,2,24,1.0,24.0,0.0,123060,0.0,0.0,2,1
1,2,8,0.0,0.0,0.0,123060,0.0,0.0,1,2
1,2,0,0.0,0.0,0.0,123060,0.0,0.0,1,7
1,2,57,5.0,17.0,512750.0,922950,20.0,2.0,1,1
1,2,31,4.0,17.0,410200.0,922950,12.0,2.0,2,2
1,1,32,0.0,0.0,0.0,922950,0.0,0.0,1,2
