region,sexo,edad,s4,s5,yoprcor,yoprcorh,o10,o26,e6a,folio,ecivil,pco2,nv
15.0,1.0,44.0,1.0,19.0,300000.0,300000.0,40.0,2.0,2.0,1510110010101.0,8.0,1.0,99
15.0,1.0,36.0,0.0,0.0,300000.0,300000.0,55.0,2.0,2.0,1510110010102.0,8.0,1.0,99
15.0,2.0,65.0,4.0,18.0,0.0,0.0,0.0,0.0,2.0,1510110010201.0,8.0,1.0,54
15.0,2.0,39.0,2.0,34.0,300000.0,300000.0,44.0,2.0,3.0,1510110010201.0,2.0,1.0,28
15.0,1.0,39.0,2.0,34.0,258824.0,258824.0,60.0,2.0,2.0,1510110010201.0,2.0,2.0,28
15.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1510110010201.0,8.0,4.0,99
15.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1510110010201.0,8.0,4.0,99
15.0,2.0,33.0,1.0,22.0,400000.0,400000.0,40.0,2.0,3.0,1510110010201.0,2.0,1.0,22
15.0,1.0,35.0,1.0,24.0,641556.0,641556.0,44.0,2.0,3.0,1510110010201.0,2.0,2.0,24
15.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1510110010201.0,8.0,4.0,99
15.0,2.0,95.0,2.0,25.0,0.0,0.0,0.0,0.0,2.0,1510110010401.0,7.0,1.0,99
15.0,2.0,63.0,8.0,16.0,150000.0,150000.0,60.0,2.0,1.0,1510110010501.0,5.0,1.0,99
15.0,1.0,20.0,0.0,0.0,321692.0,321692.0,44.0,2.0,3.0,1510110010501.0,8.0,1.0,99
15.0,1.0,28.0,0.0,0.0,641556.0,641556.0,44.0,2.0,3.0,1510110010501.0,8.0,1.0,99
15.0,1.0,30.0,0.0,0.0,641556.0,641556.0,44.0,2.0,3.0,1510110010501.0,8.0,1.0,99
15.0,2.0,72.0,4.0,24.0,0.0,0.0,0.0,0.0,3.0,1510110010601.0,6.0,1.0,99
15.0,2.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1510110010601.0,8.0,1.0,99
15.0,1.0,31.0,1.0,30.0,0.0,0.0,0.0,0.0,3.0,1510110010801.0,1.0,1.0,26
15.0,2.0,32.0,1.0,31.0,440000.0,440000.0,50.0,2.0,3.0,1510110010801.0,1.0,2.0,27
15.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1510110010801.0,8.0,4.0,99
15.0,2.0,25.0,1.0,20.0,350000.0,350000.0,45.0,2.0,2.0,1510110010801.0,2.0,2.0,20
15.0,1.0,27.0,2.0,22.0,820000.0,820000.0,45.0,2.0,2.0,1510110010801.0,2.0,1.0,22
15.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1510110010801.0,8.0,4.0,99
15.0,2.0,69.0,2.0,31.0,0.0,0.0,0.0,0.0,1.0,1510110010802.0,1.0,1.0,66
15.0,1.0,61.0,1.0,38.0,600000.0,600000.0,45.0,2.0,1.0,1510110010802.0,1.0,2.0,58
15.0,1.0,25.0,1.0,22.0,435000.0,435000.0,44.0,2.0,2.0,1510110010802.0,1.0,1.0,22
15.0,2.0,23.0,1.0,20.0,0.0,0.0,0.0,0.0,2.0,1510110010802.0,1.0,2.0,20
15.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1510110010802.0,8.0,4.0,99
15.0,2.0,63.0,7.0,15.0,150000.0,150000.0,6.0,2.0,1.0,1510110010901.0,2.0,1.0,99
15.0,1.0,77.0,4.0,16.0,0.0,0.0,0.0,0.0,1.0,1510110010901.0,2.0,2.0,99
15.0,1.0,63.0,3.0,24.0,400000.0,400000.0,40.0,1.0,2.0,1510110011001.0,7.0,1.0,99
15.0,1.0,39.0,0.0,0.0,0.0,0.0,30.0,2.0,2.0,1510110011001.0,8.0,1.0,99
15.0,1.0,36.0,0.0,0.0,200000.0,200000.0,30.0,2.0,2.0,1510110011001.0,8.0,1.0,99
15.0,1.0,34.0,1.0,19.0,400000.0,400000.0,60.0,2.0,3.0,1510110011001.0,8.0,1.0,99
15.0,1.0,55.0,4.0,99.0,400000.0,400000.0,40.0,2.0,2.0,1510110020101.0,1.0,1.0,32
15.0,2.0,52.0,3.0,99.0,0.0,0.0,0.0,0.0,2.0,1510110020101.0,1.0,2.0,29
15.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1510110020101.0,8.0,4.0,99
15.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1510110020101.0,8.0,4.0,99
15.0,2.0,54.0,0.0,0.0,270000.0,270000.0,48.0,2.0,3.0,1510110020201.0,7.0,1.0,99
15.0,2.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1510110020301.0,8.0,1.0,99
15.0,1.0,21.0,1.0,17.0,310000.0,310000.0,44.0,2.0,3.0,1510110020401.0,1.0,1.0,99
15.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1510110020401.0,1.0,2.0,99
15.0,1.0,82.0,2.0,99.0,0.0,0.0,0.0,0.0,1.0,1510110020501.0,1.0,1.0,99
15.0,2.0,81.0,2.0,99.0,0.0,0.0,0.0,0.0,1.0,1510110020501.0,1.0,2.0,99
15.0,1.0,57.0,0.0,0.0,800000.0,800000.0,45.0,2.0,3.0,1510110020501.0,8.0,1.0,99
15.0,2.0,75.0,4.0,99.0,0.0,0.0,0.0,0.0,2.0,1510110020601.0,1.0,1.0,99
15.0,1.0,83.0,4.0,99.0,0.0,0.0,0.0,0.0,2.0,1510110020601.0,1.0,2.0,99
15.0,1.0,30.0,0.0,0.0,498718.0,498718.0,40.0,2.0,3.0,1510110020601.0,8.0,13.0,99
15.0,1.0,81.0,3.0,23.0,0.0,0.0,0.0,0.0,1.0,1510110020701.0,1.0,1.0,99
15.0,2.0,78.0,3.0,20.0,0.0,0.0,0.0,0.0,1.0,1510110020701.0,1.0,2.0,99
15.0,2.0,36.0,0.0,0.0,300000.0,300000.0,44.0,2.0,3.0,1510110020801.0,8.0,1.0,99
15.0,2.0,66.0,2.0,21.0,0.0,0.0,0.0,0.0,2.0,1510110020901.0,1.0,1.0,99
15.0,1.0,65.0,2.0,20.0,350000.0,350000.0,45.0,2.0,2.0,1510110020901.0,1.0,2.0,99
15.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1510110020901.0,8.0,13.0,99
15.0,2.0,60.0,1.0,28.0,270000.0,270000.0,44.0,2.0,1.0,1510110021101.0,8.0,1.0,99
15.0,2.0,78.0,3.0,22.0,0.0,0.0,0.0,0.0,3.0,1510110021201.0,7.0,1.0,99
15.0,1.0,65.0,2.0,99.0,280000.0,280000.0,45.0,2.0,1.0,1510110021401.0,5.0,1.0,99
15.0,2.0,38.0,2.0,36.0,200000.0,200000.0,45.0,2.0,2.0,1510110021501.0,1.0,1.0,38
15.0,1.0,42.0,2.0,32.0,190000.0,190000.0,45.0,2.0,1.0,1510110021501.0,1.0,2.0,42
15.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1510110021501.0,8.0,4.0,99
15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1510110021501.0,8.0,4.0,99
15.0,2.0,51.0,3.0,18.0,350000.0,350000.0,44.0,2.0,3.0,1510110030101.0,8.0,1.0,36
15.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1510110030101.0,8.0,5.0,99
15.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1510110030101.0,8.0,5.0,99
15.0,2.0,52.0,2.0,20.0,300000.0,300000.0,30.0,2.0,3.0,1510110030201.0,2.0,1.0,99
15.0,1.0,57.0,3.0,30.0,1000000.0,1000000.0,44.0,2.0,4.0,1510110030201.0,2.0,2.0,48
15.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1510110030201.0,8.0,6.0,99
15.0,2.0,89.0,5.0,21.0,0.0,0.0,0.0,0.0,2.0,1510110030301.0,7.0,1.0,99
15.0,1.0,70.0,3.0,26.0,0.0,0.0,0.0,0.0,1.0,1510110030401.0,2.0,1.0,99
15.0,2.0,75.0,3.0,23.0,0.0,0.0,0.0,0.0,1.0,1510110030401.0,2.0,2.0,99
15.0,2.0,83.0,2.0,32.0,0.0,0.0,0.0,0.0,2.0,1510110040101.0,7.0,1.0,99
15.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1510110040101.0,8.0,13.0,99
15.0,2.0,68.0,2.0,22.0,300000.0,300000.0,50.0,2.0,3.0,1510110040201.0,5.0,1.0,99
15.0,1.0,55.0,1.0,23.0,600000.0,600000.0,5.0,2.0,1.0,1510110040301.0,1.0,1.0,99
15.0,2.0,50.0,1.0,18.0,270000.0,270000.0,50.0,2.0,2.0,1510110040301.0,1.0,2.0,99
15.0,2.0,71.0,2.0,17.0,0.0,0.0,0.0,0.0,1.0,1510110040301.0,7.0,1.0,99
15.0,2.0,58.0,2.0,35.0,5200000.0,5200000.0,50.0,2.0,4.0,1510110040401.0,6.0,1.0,99
15.0,2.0,77.0,2.0,21.0,0.0,0.0,0.0,0.0,3.0,1510110050101.0,2.0,1.0,99
15.0,1.0,80.0,3.0,23.0,800000.0,800000.0,40.0,2.0,2.0,1510110050101.0,2.0,2.0,99
15.0,2.0,79.0,2.0,99.0,0.0,0.0,0.0,0.0,3.0,1510110050201.0,7.0,1.0,36
15.0,1.0,43.0,1.0,27.0,270000.0,270000.0,20.0,2.0,3.0,1510110050201.0,8.0,5.0,99
15.0,2.0,44.0,1.0,21.0,300000.0,300000.0,30.0,2.0,3.0,1510110050201.0,2.0,2.0,99
15.0,1.0,47.0,2.0,99.0,800000.0,800000.0,50.0,2.0,3.0,1510110050201.0,2.0,1.0,4
15.0,1.0,74.0,1.0,36.0,0.0,0.0,0.0,0.0,1.0,1510110050301.0,1.0,1.0,99
15.0,2.0,65.0,1.0,99.0,0.0,0.0,0.0,0.0,3.0,1510110050301.0,1.0,2.0,99
15.0,2.0,87.0,5.0,26.0,0.0,0.0,0.0,0.0,3.0,1510110050401.0,7.0,1.0,99
15.0,2.0,58.0,1.0,20.0,1500000.0,1500000.0,50.0,2.0,3.0,1510110050401.0,5.0,1.0,99
15.0,2.0,45.0,3.0,20.0,800000.0,800000.0,44.0,2.0,3.0,1510110050401.0,5.0,1.0,99
15.0,2.0,59.0,3.0,25.0,300000.0,300000.0,50.0,2.0,2.0,1510110060201.0,2.0,1.0,57
15.0,1.0,71.0,3.0,36.0,0.0,0.0,0.0,0.0,3.0,1510110060201.0,2.0,2.0,69
15.0,1.0,38.0,1.0,36.0,729727.0,729727.0,0.0,2.0,2.0,1510110060201.0,2.0,1.0,36
15.0,2.0,27.0,1.0,25.0,0.0,0.0,0.0,0.0,3.0,1510110060201.0,2.0,2.0,25
15.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1510110060201.0,8.0,4.0,99
15.0,2.0,42.0,7.0,99.0,270000.0,270000.0,45.0,2.0,2.0,1510110060301.0,2.0,1.0,41
15.0,1.0,47.0,1.0,99.0,270000.0,270000.0,45.0,2.0,2.0,1510110060301.0,2.0,2.0,99
15.0,2.0,26.0,3.0,99.0,270000.0,270000.0,25.0,2.0,2.0,1510110060301.0,8.0,1.0,25
15.0,1.0,21.0,1.0,99.0,270000.0,270000.0,25.0,2.0,2.0,1510110060301.0,8.0,1.0,20
15.0,1.0,17.0,0.0,0.0,120000.0,120000.0,25.0,2.0,2.0,1510110060301.0,2.0,1.0,16
15.0,2.0,36.0,2.0,99.0,120000.0,120000.0,30.0,2.0,2.0,1510110060301.0,2.0,2.0,99
15.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1510110060301.0,8.0,5.0,99
15.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1510110060301.0,8.0,5.0,99
15.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1510110060301.0,8.0,5.0,99
15.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1510110060301.0,8.0,5.0,99
15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1510110060301.0,8.0,5.0,99
15.0,2.0,46.0,2.0,25.0,1000000.0,1000000.0,50.0,2.0,2.0,1510110070101.0,8.0,1.0,29
15.0,1.0,21.0,0.0,0.0,500000.0,500000.0,20.0,2.0,3.0,1510110070101.0,8.0,1.0,4
15.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1510110070101.0,8.0,5.0,99
15.0,2.0,70.0,4.0,99.0,700000.0,700000.0,30.0,2.0,2.0,1510110070201.0,1.0,1.0,99
15.0,1.0,58.0,2.0,99.0,350000.0,350000.0,40.0,2.0,3.0,1510110070201.0,1.0,2.0,99
15.0,2.0,55.0,3.0,99.0,80000.0,80000.0,20.0,2.0,2.0,1510110070301.0,5.0,1.0,33
15.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1510110070301.0,8.0,5.0,99
15.0,2.0,32.0,1.0,29.0,0.0,0.0,0.0,0.0,2.0,1510110080101.0,8.0,1.0,29
15.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1510110080101.0,8.0,5.0,99
15.0,2.0,69.0,3.0,21.0,0.0,0.0,0.0,0.0,2.0,1510110080102.0,2.0,1.0,99
15.0,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1510110080102.0,2.0,2.0,99
15.0,2.0,54.0,1.0,32.0,0.0,0.0,0.0,0.0,2.0,1510110080301.0,8.0,1.0,32
15.0,2.0,86.0,4.0,25.0,0.0,0.0,0.0,0.0,2.0,1510110080301.0,7.0,1.0,64
15.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1510110080301.0,8.0,5.0,99
15.0,1.0,41.0,2.0,26.0,450000.0,450000.0,45.0,2.0,2.0,1510110080501.0,1.0,1.0,26
15.0,2.0,41.0,2.0,26.0,400000.0,400000.0,45.0,2.0,2.0,1510110080501.0,1.0,2.0,26
15.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1510110080501.0,8.0,4.0,99
15.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1510110080501.0,8.0,4.0,99
15.0,2.0,73.0,3.0,15.0,0.0,0.0,0.0,0.0,2.0,1510110080601.0,7.0,1.0,99
15.0,1.0,83.0,6.0,23.0,0.0,0.0,0.0,0.0,2.0,1510110080701.0,1.0,1.0,99
