region,sexo,edad,s7,s8,ytrabaj,ytrabhaj,o10,o27,e6a,folio,ecivil,pco2,nv
15,1,76,0.0,0.0,0.0,0,0.0,0.0,2,151011001021.0,1,1,99
15,2,75,2.0,21.0,0.0,0,0.0,0.0,2,151011001021.0,1,2,99
15,2,83,4.0,26.0,0.0,0,0.0,0.0,2,151011001041.0,6,1,99
15,1,34,0.0,0.0,1099000.0,1274840,84.0,2.0,3,151011001051.0,2,1,34
15,2,31,1.0,31.0,175840.0,1274840,45.0,2.0,3,151011001051.0,2,2,31
15,1,0,0.0,0.0,0.0,1274840,0.0,0.0,1,151011001051.0,7,3,99
15,2,67,2.0,44.0,307650.0,582400,10.0,2.0,1,151011001061.0,2,1,99
15,1,65,0.0,0.0,274750.0,582400,48.0,2.0,2,151011001061.0,5,13,99
15,1,64,0.0,0.0,0.0,582400,10.0,2.0,1,151011001061.0,2,2,99
15,1,53,0.0,0.0,824250.0,830111,84.0,2.0,2,151011001081.0,1,1,36
15,2,46,2.0,20.0,5861.0,830111,25.0,2.0,2,151011001081.0,1,2,29
15,2,17,0.0,0.0,0.0,830111,0.0,0.0,2,151011001081.0,7,3,99
15,2,75,3.0,20.0,0.0,0,0.0,0.0,3,151011001131.0,6,1,99
15,1,55,0.0,0.0,2461200.0,4085246,45.0,2.0,2,151011002021.0,1,1,34
15,2,58,3.0,33.0,200018.0,4085246,45.0,2.0,3,151011002021.0,1,2,37
15,1,25,0.0,0.0,410200.0,4085246,25.0,2.0,3,151011002021.0,7,3,99
15,2,23,0.0,0.0,1013828.0,4085246,45.0,2.0,3,151011002021.0,7,3,99
15,1,21,0.0,0.0,0.0,4085246,0.0,0.0,3,151011002021.0,7,3,99
15,2,69,0.0,0.0,21980.0,21980,0.0,0.0,2,151011002061.0,7,1,99
15,2,52,2.0,20.0,158256.0,445370,48.0,2.0,2,151011003041.0,5,1,52
15,1,48,0.0,0.0,65940.0,445370,50.0,2.0,2,151011003041.0,7,1,48
15,2,29,2.0,16.0,221174.0,445370,42.0,2.0,2,151011003041.0,7,1,29
15,1,13,0.0,0.0,0.0,445370,0.0,0.0,1,151011003041.0,7,4,99
15,2,10,0.0,0.0,0.0,445370,0.0,0.0,1,151011003041.0,7,12,99
15,1,0,0.0,0.0,0.0,445370,0.0,0.0,1,151011003041.0,7,4,99
15,2,58,5.0,18.0,478566.0,581116,46.0,2.0,2,151011003061.0,6,1,28
15,1,30,0.0,0.0,102550.0,581116,30.0,2.0,3,151011003061.0,7,4,99
15,1,46,0.0,0.0,124371.0,196156,40.0,2.0,3,151011004021.0,5,1,99
15,2,71,10.0,16.0,0.0,196156,0.0,0.0,1,151011004021.0,6,12,99
15,1,22,0.0,0.0,71785.0,196156,56.0,2.0,2,151011004021.0,7,1,99
15,2,60,2.0,29.0,496748.0,1417619,40.0,2.0,2,151011004031.0,4,1,60
15,2,30,2.0,27.0,608571.0,1417619,45.0,2.0,3,151011004031.0,1,1,30
15,2,3,0.0,0.0,0.0,1417619,0.0,0.0,1,151011004031.0,7,3,99
15,2,0,0.0,0.0,0.0,1417619,0.0,0.0,1,151011004031.0,7,3,99
15,1,30,0.0,0.0,312300.0,1417619,48.0,2.0,3,151011004031.0,1,2,30
15,1,48,0.0,0.0,3076500.0,3076500,50.0,2.0,3,151011004041.0,1,1,28
15,2,45,2.0,26.0,0.0,3076500,0.0,0.0,2,151011004041.0,1,2,25
15,2,20,0.0,0.0,0.0,3076500,0.0,0.0,3,151011004041.0,7,3,99
15,2,20,0.0,0.0,0.0,3076500,0.0,0.0,3,151011004041.0,7,3,99
15,2,67,3.0,19.0,123060.0,397810,20.0,2.0,2,151011004061.0,1,1,22
15,1,75,0.0,0.0,0.0,397810,0.0,0.0,2,151011004061.0,1,2,30
15,2,45,2.0,30.0,274750.0,397810,45.0,2.0,3,151011004061.0,7,3,99
15,1,14,0.0,0.0,0.0,397810,0.0,0.0,1,151011004061.0,7,12,99
15,1,16,0.0,0.0,0.0,397810,0.0,0.0,2,151011004061.0,7,12,99
15,1,72,0.0,0.0,0.0,0,0.0,0.0,2,151011004071.0,1,1,99
15,2,68,3.0,12.0,0.0,0,0.0,0.0,1,151011004071.0,1,2,99
15,1,65,0.0,0.0,0.0,0,0.0,0.0,3,151011004081.0,1,1,99
15,2,83,1.0,16.0,0.0,0,0.0,0.0,1,151011004081.0,6,12,99
15,2,69,2.0,24.0,0.0,0,0.0,0.0,1,151011005011.0,6,1,99
15,2,52,0.0,0.0,0.0,0,0.0,0.0,1,151011005021.0,7,1,99
15,2,30,2.0,20.0,188662.0,188662,70.0,2.0,2,151011005071.0,7,1,28
15,2,10,0.0,0.0,0.0,188662,0.0,0.0,1,151011005071.0,7,4,99
15,1,2,0.0,0.0,0.0,188662,0.0,0.0,1,151011005071.0,7,4,99
15,1,77,0.0,0.0,0.0,0,0.0,0.0,1,151011005072.0,4,1,99
15,1,61,0.0,0.0,0.0,0,0.0,0.0,1,151011005101.0,2,1,99
15,2,57,2.0,19.0,0.0,0,0.0,0.0,2,151011005101.0,2,2,99
15,2,37,0.0,0.0,200018.0,400036,45.0,2.0,2,151011005102.0,2,1,99
15,1,27,0.0,0.0,200018.0,400036,45.0,2.0,2,151011005102.0,2,2,99
15,2,57,3.0,24.0,0.0,585767,0.0,0.0,2,151011006011.0,4,1,36
15,1,33,0.0,0.0,384650.0,585767,56.0,2.0,2,151011006011.0,7,4,99
15,1,21,0.0,0.0,201117.0,585767,56.0,2.0,2,151011006011.0,7,4,99
15,1,32,0.0,0.0,1500594.0,1500594,64.0,2.0,3,151011006021.0,1,1,29
15,2,35,4.0,18.0,0.0,1500594,0.0,0.0,3,151011006021.0,1,2,32
15,2,12,0.0,0.0,0.0,1500594,0.0,0.0,1,151011006021.0,7,5,99
15,1,13,0.0,0.0,0.0,1500594,0.0,0.0,1,151011006021.0,7,4,99
15,1,9,0.0,0.0,0.0,1500594,0.0,0.0,1,151011006021.0,7,3,99
15,2,3,0.0,0.0,0.0,1500594,0.0,0.0,1,151011006021.0,7,3,99
15,1,63,0.0,0.0,739078.0,739078,30.0,2.0,3,151011006041.0,1,1,29
15,2,60,2.0,25.0,0.0,739078,0.0,0.0,3,151011006041.0,1,2,26
15,1,34,0.0,0.0,0.0,739078,0.0,0.0,2,151011006041.0,7,3,99
15,1,25,0.0,0.0,519278.0,519278,64.0,2.0,3,151011006042.0,2,1,23
15,2,22,1.0,20.0,0.0,519278,0.0,0.0,3,151011006042.0,2,2,20
15,1,2,0.0,0.0,0.0,519278,0.0,0.0,1,151011006042.0,7,3,99
15,2,51,3.0,19.0,219800.0,417620,40.0,2.0,2,151011006071.0,7,1,50
15,2,32,3.0,22.0,197820.0,417620,40.0,2.0,2,151011006071.0,5,1,31
15,1,22,0.0,0.0,0.0,417620,0.0,0.0,2,151011006071.0,7,4,99
15,2,30,1.0,25.0,0.0,417620,0.0,0.0,2,151011006071.0,4,1,29
15,2,5,0.0,0.0,0.0,417620,0.0,0.0,1,151011006071.0,7,4,99
15,1,10,0.0,0.0,0.0,417620,0.0,0.0,1,151011006071.0,7,4,99
15,1,5,0.0,0.0,0.0,417620,0.0,0.0,1,151011006071.0,7,4,99
15,1,1,0.0,0.0,0.0,417620,0.0,0.0,1,151011006071.0,7,4,99
15,1,58,0.0,0.0,263760.0,263760,48.0,2.0,2,151011006091.0,1,1,99
15,2,54,3.0,20.0,0.0,263760,0.0,0.0,2,151011006091.0,1,2,99
15,2,38,1.0,26.0,441432.0,441432,40.0,2.0,2,151011007011.0,7,1,26
15,2,12,0.0,0.0,0.0,441432,0.0,0.0,1,151011007011.0,7,4,99
15,1,50,0.0,0.0,329700.0,579723,20.0,2.0,2,151011007021.0,1,1,26
15,2,48,2.0,25.0,250023.0,579723,45.0,2.0,2,151011007021.0,1,2,24
15,1,24,0.0,0.0,0.0,579723,0.0,0.0,3,151011007021.0,5,3,99
15,1,58,0.0,0.0,0.0,369180,0.0,0.0,1,151011007031.0,1,1,99
15,2,55,3.0,25.0,369180.0,369180,60.0,2.0,1,151011007031.0,1,2,99
15,1,42,0.0,0.0,574280.0,604280,45.0,2.0,3,151011008011.0,1,1,36
