region,sexo,edad,s4,s5,yoprcor,yoprcorh,o10,o26,e6a
5.0,2.0,76.0,3.0,22.0,0.0,0.0,0.0,0.0,3.0
5.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
5.0,2.0,33.0,0.0,0.0,750000.0,750000.0,43.0,1.0,3.0
5.0,1.0,51.0,1.0,30.0,0.0,0.0,0.0,0.0,4.0
5.0,2.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
5.0,2.0,45.0,3.0,22.0,500000.0,500000.0,25.0,2.0,3.0
5.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
5.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.0,1.0,62.0,2.0,27.0,630000.0,630000.0,45.0,2.0,2.0
5.0,2.0,28.0,0.0,0.0,112000.0,112000.0,15.0,1.0,3.0
5.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
5.0,2.0,60.0,2.0,25.0,275000.0,275000.0,45.0,2.0,2.0
5.0,1.0,56.0,3.0,18.0,270000.0,270000.0,45.0,2.0,2.0
5.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
5.0,1.0,74.0,8.0,19.0,300000.0,300000.0,45.0,2.0,2.0
5.0,2.0,73.0,2.0,19.0,0.0,0.0,0.0,0.0,2.0
5.0,1.0,62.0,3.0,21.0,550000.0,550000.0,32.0,1.0,3.0
5.0,2.0,92.0,3.0,17.0,0.0,0.0,0.0,0.0,2.0
5.0,2.0,34.0,1.0,25.0,300000.0,300000.0,12.0,2.0,3.0
5.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.0,1.0,32.0,0.0,0.0,370000.0,370000.0,98.0,2.0,2.0
5.0,2.0,49.0,4.0,15.0,170000.0,170000.0,30.0,2.0,2.0
5.0,1.0,25.0,11.0,17.0,0.0,0.0,0.0,0.0,3.0
5.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.0,2.0,60.0,3.0,26.0,300000.0,300000.0,25.0,2.0,2.0
5.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
5.0,2.0,25.0,0.0,0.0,350000.0,350000.0,45.0,2.0,3.0
