region,sexo,edad,s4,s5,yoprcor,yoprcorh,o10,o27,e6a
2,2,30,1.0,29.0,1200000.0,1200000,48.0,0.0,3
2,1,1,0.0,0.0,0.0,0,0.0,0.0,1
2,2,18,0.0,0.0,0.0,0,0.0,0.0,2
2,1,30,0.0,0.0,380000.0,380000,48.0,0.0,2
2,2,29,0.0,0.0,350000.0,350000,49.0,0.0,2
2,1,37,0.0,0.0,500000.0,500000,48.0,0.0,2
2,2,36,1.0,32.0,0.0,0,0.0,0.0,2
2,2,4,0.0,0.0,0.0,0,0.0,0.0,1
2,1,50,0.0,0.0,380000.0,380000,45.0,0.0,2
2,2,30,1.0,27.0,400000.0,400000,45.0,0.0,2
2,1,3,0.0,0.0,0.0,0,0.0,0.0,1
2,2,32,1.0,30.0,700000.0,700000,48.0,0.0,3
2,1,2,0.0,0.0,0.0,0,0.0,0.0,1
2,2,50,4.0,23.0,0.0,0,0.0,0.0,2
2,2,27,1.0,25.0,800000.0,800000,50.0,0.0,3
2,2,24,1.0,20.0,700000.0,700000,50.0,0.0,3
2,2,23,1.0,20.0,0.0,0,0.0,0.0,3
2,1,4,0.0,0.0,0.0,0,0.0,0.0,1
2,1,2,0.0,0.0,0.0,0,0.0,0.0,1
2,1,2,0.0,0.0,0.0,0,0.0,0.0,1
2,1,55,0.0,0.0,400000.0,400000,48.0,0.0,2
2,2,53,0.0,0.0,0.0,0,0.0,0.0,2
2,1,50,0.0,0.0,830000.0,830000,36.0,0.0,2
2,2,30,1.0,20.0,240000.0,240000,45.0,0.0,2
2,1,10,0.0,0.0,0.0,0,0.0,0.0,1
2,1,51,0.0,0.0,250000.0,250000,45.0,0.0,2
2,2,32,0.0,0.0,250000.0,250000,45.0,0.0,3
2,1,66,0.0,0.0,700000.0,700000,30.0,0.0,3
2,2,63,2.0,25.0,0.0,0,0.0,0.0,2
2,2,30,0.0,0.0,900000.0,900000,44.0,0.0,3
2,1,49,0.0,0.0,500000.0,500000,84.0,0.0,2
2,2,49,3.0,21.0,0.0,0,0.0,0.0,2
2,2,28,1.0,21.0,300000.0,300000,45.0,0.0,3
2,1,18,0.0,0.0,0.0,0,0.0,0.0,2
2,1,16,0.0,0.0,0.0,0,0.0,0.0,2
2,1,2,0.0,0.0,0.0,0,0.0,0.0,1
2,2,31,1.0,28.0,450000.0,450000,45.0,0.0,3
2,1,4,0.0,0.0,0.0,0,0.0,0.0,1
2,2,54,4.0,23.0,0.0,0,0.0,0.0,2
2,1,48,0.0,0.0,852394.0,852394,8.0,0.0,3
2,2,50,2.0,28.0,0.0,0,0.0,0.0,3
2,2,20,0.0,0.0,0.0,0,0.0,0.0,3
2,2,14,0.0,0.0,0.0,0,0.0,0.0,2
2,1,6,0.0,0.0,0.0,0,0.0,0.0,1
2,1,38,0.0,0.0,900000.0,900000,45.0,2.0,3
2,2,40,4.0,20.0,0.0,0,0.0,0.0,2
2,1,44,0.0,0.0,900000.0,900000,45.0,0.0,2
2,1,20,0.0,0.0,0.0,0,0.0,0.0,2
2,1,18,0.0,0.0,0.0,0,0.0,0.0,2
2,2,17,0.0,0.0,0.0,0,0.0,0.0,2
2,1,1,0.0,0.0,0.0,0,0.0,0.0,1
2,1,33,0.0,0.0,800000.0,800000,84.0,0.0,2
2,2,24,2.0,17.0,0.0,0,0.0,0.0,2
2,1,6,0.0,0.0,0.0,0,0.0,0.0,1
2,2,4,0.0,0.0,0.0,0,0.0,0.0,1
2,1,19,0.0,0.0,250000.0,250000,45.0,0.0,2
2,1,19,0.0,0.0,300000.0,300000,45.0,0.0,2
2,2,71,1.0,17.0,150000.0,150000,25.0,0.0,2
2,1,64,0.0,0.0,0.0,0,48.0,0.0,2
2,2,68,7.0,15.0,0.0,0,0.0,0.0,1
2,1,48,0.0,0.0,0.0,0,0.0,0.0,3
2,2,46,4.0,17.0,0.0,0,0.0,0.0,2
2,2,29,0.0,0.0,1100000.0,1100000,72.0,0.0,3
2,2,28,0.0,0.0,1100000.0,1100000,72.0,0.0,3
2,1,26,0.0,0.0,1100000.0,1100000,72.0,0.0,3
2,2,10,0.0,0.0,0.0,0,0.0,0.0,1
2,2,76,3.0,25.0,0.0,0,0.0,0.0,2
2,2,52,2.0,27.0,400000.0,400000,45.0,0.0,3
2,1,22,0.0,0.0,0.0,0,0.0,0.0,3
2,1,57,0.0,0.0,300000.0,300000,60.0,0.0,2
2,1,18,0.0,0.0,0.0,0,0.0,0.0,2
2,2,53,2.0,35.0,200000.0,200000,50.0,0.0,2
2,1,16,0.0,0.0,0.0,0,0.0,0.0,2
2,1,54,0.0,0.0,1500000.0,1500000,45.0,0.0,3
2,2,28,0.0,0.0,1100000.0,1100000,60.0,0.0,3
2,1,31,0.0,0.0,510000.0,510000,45.0,0.0,2
2,1,7,0.0,0.0,0.0,0,0.0,0.0,1
2,2,5,0.0,0.0,0.0,0,0.0,0.0,1
2,1,1,0.0,0.0,0.0,0,0.0,0.0,1
2,2,23,3.0,15.0,0.0,0,0.0,0.0,2
2,1,56,0.0,0.0,800000.0,800000,60.0,0.0,3
2,1,34,0.0,0.0,600000.0,600000,45.0,5.0,3
2,2,32,1.0,30.0,0.0,0,0.0,0.0,3
2,2,24,0.0,0.0,0.0,0,0.0,0.0,3
2,2,2,0.0,0.0,0.0,0,0.0,0.0,1
2,2,57,3.0,23.0,0.0,0,0.0,0.0,2
2,1,61,0.0,0.0,0.0,0,0.0,0.0,2
2,2,55,2.0,21.0,0.0,0,0.0,0.0,2
2,1,52,0.0,0.0,400000.0,400000,36.0,0.0,1
2,2,50,3.0,18.0,0.0,0,0.0,0.0,1
2,2,56,2.0,31.0,0.0,0,0.0,0.0,1
2,2,25,0.0,0.0,280000.0,280000,45.0,0.0,2
2,1,21,0.0,0.0,500000.0,500000,48.0,0.0,2
2,2,47,1.0,22.0,280000.0,280000,45.0,0.0,2
2,1,25,0.0,0.0,700000.0,700000,48.0,0.0,2
2,1,41,0.0,0.0,500000.0,500000,84.0,0.0,2
2,2,40,3.0,26.0,300000.0,300000,36.0,0.0,2
2,2,14,0.0,0.0,0.0,0,0.0,0.0,2
2,1,13,0.0,0.0,0.0,0,0.0,0.0,1
2,1,12,0.0,0.0,0.0,0,0.0,0.0,1
2,1,43,0.0,0.0,500000.0,500000,36.0,0.0,2
2,2,44,1.0,23.0,0.0,0,0.0,0.0,2
2,2,21,1.0,19.0,0.0,0,0.0,0.0,2
2,1,2,0.0,0.0,0.0,0,0.0,0.0,1
2,2,28,0.0,0.0,700000.0,700000,40.0,0.0,3
2,1,54,0.0,0.0,450000.0,450000,36.0,0.0,2
2,2,50,1.0,29.0,0.0,0,0.0,0.0,2
2,1,21,0.0,0.0,0.0,0,0.0,0.0,3
2,1,47,0.0,0.0,1200000.0,1200000,45.0,0.0,2
2,2,46,2.0,24.0,700000.0,700000,45.0,0.0,2
2,2,21,0.0,0.0,0.0,0,0.0,0.0,3
2,2,16,0.0,0.0,0.0,0,0.0,0.0,2
2,2,52,2.0,23.0,300000.0,300000,90.0,0.0,2
2,1,50,0.0,0.0,573707.0,573707,50.0,0.0,2
2,2,29,0.0,0.0,600000.0,600000,45.0,0.0,3
2,2,52,0.0,0.0,126000.0,126000,20.0,0.0,2
2,2,55,0.0,0.0,0.0,0,0.0,0.0,2
2,1,51,0.0,0.0,500000.0,500000,45.0,0.0,3
2,1,35,0.0,0.0,380000.0,380000,45.0,0.0,2
2,1,45,0.0,0.0,380000.0,380000,45.0,0.0,2
2,1,72,0.0,0.0,0.0,0,0.0,0.0,1
2,2,60,1.0,30.0,0.0,0,0.0,0.0,2
2,2,60,1.0,19.0,560000.0,560000,42.0,0.0,1
2,2,22,1.0,19.0,350000.0,350000,45.0,0.0,3
2,1,23,0.0,0.0,350000.0,350000,45.0,0.0,2
2,1,3,0.0,0.0,0.0,0,0.0,0.0,1
2,1,59,0.0,0.0,500000.0,500000,45.0,0.0,2
2,2,58,3.0,18.0,0.0,0,0.0,0.0,2
2,2,57,2.0,24.0,500000.0,500000,60.0,0.0,3
2,1,66,0.0,0.0,200000.0,200000,50.0,0.0,3
2,1,26,0.0,0.0,0.0,0,0.0,0.0,3
2,1,45,0.0,0.0,400000.0,400000,48.0,0.0,2
2,2,43,0.0,0.0,0.0,0,0.0,0.0,2
2,1,40,0.0,0.0,450000.0,450000,48.0,0.0,99
2,2,42,2.0,17.0,0.0,0,0.0,0.0,99
2,1,25,0.0,0.0,0.0,0,0.0,0.0,99
2,2,11,0.0,0.0,0.0,0,0.0,0.0,1
2,1,30,0.0,0.0,800000.0,800000,48.0,0.0,2
2,2,48,2.0,33.0,370000.0,370000,45.0,0.0,2
2,2,13,0.0,0.0,0.0,0,0.0,0.0,1
2,2,15,0.0,0.0,0.0,0,0.0,0.0,2
2,1,35,0.0,0.0,400000.0,400000,45.0,0.0,2
2,2,29,4.0,19.0,0.0,0,0.0,0.0,1
2,1,9,0.0,0.0,0.0,0,0.0,0.0,1
2,1,7,0.0,0.0,0.0,0,0.0,0.0,1
2,1,3,0.0,0.0,0.0,0,0.0,0.0,1
2,1,0,0.0,0.0,0.0,0,0.0,0.0,1
2,1,42,0.0,0.0,870000.0,870000,45.0,0.0,2
2,2,39,3.0,24.0,0.0,0,0.0,0.0,2
2,1,15,0.0,0.0,0.0,0,0.0,0.0,2
2,2,13,0.0,0.0,0.0,0,0.0,0.0,1
2,1,7,0.0,0.0,0.0,0,0.0,0.0,1
2,1,34,0.0,0.0,500000.0,500000,45.0,0.0,1
2,2,30,3.0,17.0,0.0,0,0.0,0.0,2
2,2,11,0.0,0.0,0.0,0,0.0,0.0,1
2,2,7,0.0,0.0,0.0,0,0.0,0.0,1
2,2,2,0.0,0.0,0.0,0,0.0,0.0,1
2,1,33,0.0,0.0,900000.0,900000,45.0,0.0,2
2,2,34,2.0,25.0,0.0,0,0.0,0.0,3
2,1,8,0.0,0.0,0.0,0,0.0,0.0,1
2,2,2,0.0,0.0,0.0,0,0.0,0.0,1
2,1,58,0.0,0.0,4000000.0,4000000,45.0,0.0,2
2,2,36,3.0,15.0,310000.0,310000,45.0,1.0,1
2,1,21,0.0,0.0,450000.0,450000,45.0,0.0,1
2,1,16,0.0,0.0,0.0,0,0.0,0.0,2
2,1,8,0.0,0.0,0.0,0,0.0,0.0,1
2,1,46,0.0,0.0,450000.0,450000,45.0,0.0,1
2,2,17,0.0,0.0,0.0,0,0.0,0.0,2
2,1,60,0.0,0.0,120000.0,120000,10.0,0.0,1
2,2,47,1.0,23.0,180000.0,180000,8.0,0.0,2
2,2,56,4.0,19.0,380000.0,380000,10.0,0.0,2
2,2,26,0.0,0.0,0.0,0,0.0,0.0,2
2,1,27,0.0,0.0,500000.0,500000,45.0,0.0,2
2,2,51,2.0,23.0,300000.0,300000,45.0,0.0,2
2,2,24,0.0,0.0,0.0,0,0.0,0.0,1
2,1,26,0.0,0.0,900000.0,900000,84.0,0.0,3
2,2,26,2.0,23.0,0.0,0,0.0,0.0,2
2,1,2,0.0,0.0,0.0,0,0.0,0.0,1
2,2,0,0.0,0.0,0.0,0,0.0,0.0,1
2,1,32,0.0,0.0,500000.0,500000,45.0,0.0,2
2,2,29,2.0,22.0,0.0,0,0.0,0.0,2
2,1,7,0.0,0.0,0.0,0,0.0,0.0,1
2,1,0,0.0,0.0,0.0,0,0.0,0.0,1
2,2,55,5.0,21.0,300000.0,300000,84.0,0.0,1
2,2,32,3.0,16.0,0.0,0,0.0,0.0,1
2,2,26,1.0,22.0,160000.0,160000,48.0,0.0,2
2,1,20,0.0,0.0,350000.0,350000,48.0,0.0,1
2,2,15,0.0,0.0,0.0,0,0.0,0.0,2
2,2,4,0.0,0.0,0.0,0,0.0,0.0,1
