region,sexo,edad,s7,s8,ytrabaj,ytrabhaj,o10,o27,e6a,folio,ecivil,pco2,nv
1,1,44,0.0,0.0,1051377.0,1051377,54.0,2.0,3,11011001011.0,2,1,38
1,2,39,3.0,16.0,0.0,1051377,0.0,0.0,2,11011001011.0,2,2,33
1,2,6,0.0,0.0,0.0,1051377,0.0,0.0,1,11011001011.0,7,3,99
1,2,6,0.0,0.0,0.0,1051377,0.0,0.0,1,11011001011.0,7,3,99
1,2,45,2.0,23.0,203315.0,379155,45.0,2.0,2,11011001031.0,7,1,19
1,1,20,0.0,0.0,0.0,379155,0.0,0.0,2,11011001031.0,7,4,99
1,1,26,0.0,0.0,175840.0,379155,45.0,2.0,2,11011001031.0,7,4,99
1,2,65,4.0,15.0,0.0,769300,0.0,0.0,2,11011001041.0,6,1,32
1,1,30,0.0,0.0,384650.0,769300,45.0,2.0,2,11011001041.0,7,4,99
1,1,33,0.0,0.0,384650.0,769300,45.0,2.0,2,11011001041.0,7,4,99
1,1,81,0.0,0.0,0.0,0,0.0,0.0,2,11011001061.0,2,1,99
1,2,77,2.0,28.0,0.0,0,0.0,0.0,2,11011001061.0,2,2,99
1,1,60,0.0,0.0,1025500.0,1300250,12.0,2.0,2,11011001071.0,1,1,49
1,2,58,2.0,22.0,0.0,1300250,0.0,0.0,2,11011001071.0,1,2,35
1,2,23,0.0,0.0,0.0,1300250,0.0,0.0,3,11011001071.0,7,3,99
1,1,7,0.0,0.0,0.0,1300250,0.0,0.0,1,11011001071.0,7,12,99
1,2,32,1.0,21.0,274750.0,1300250,48.0,2.0,3,11011001071.0,7,1,21
1,1,11,0.0,0.0,0.0,1300250,0.0,0.0,1,11011001071.0,7,4,99
1,1,58,0.0,0.0,615300.0,813120,30.0,2.0,3,11011001081.0,1,1,99
1,2,45,1.0,18.0,197820.0,813120,45.0,2.0,2,11011001081.0,1,2,99
1,1,55,0.0,0.0,287140.0,287140,72.0,2.0,1,11011001091.0,7,1,99
1,1,26,0.0,0.0,410200.0,820400,70.0,2.0,3,11011001101.0,2,1,99
1,2,36,3.0,15.0,410200.0,820400,70.0,2.0,2,11011001101.0,2,2,99
1,1,56,0.0,0.0,164080.0,266630,84.0,2.0,2,11011001111.0,2,1,99
1,2,54,5.0,19.0,102550.0,266630,35.0,2.0,2,11011001111.0,2,2,99
1,2,39,2.0,20.0,329700.0,1978200,45.0,2.0,3,11011001141.0,1,1,19
1,2,13,0.0,0.0,0.0,1978200,0.0,0.0,1,11011001141.0,7,4,99
1,1,39,0.0,0.0,549500.0,1978200,45.0,2.0,3,11011001141.0,1,2,99
1,2,20,0.0,0.0,0.0,1978200,0.0,0.0,3,11011001141.0,7,4,99
1,2,50,0.0,0.0,1099000.0,1978200,50.0,2.0,3,11011001141.0,1,1,30
1,2,20,0.0,0.0,0.0,1978200,0.0,0.0,3,11011001141.0,7,4,99
1,1,43,0.0,0.0,1433280.0,1817930,54.0,2.0,3,11011002021.0,1,1,34
1,2,42,3.0,26.0,0.0,1817930,0.0,0.0,3,11011002021.0,1,2,33
1,2,15,0.0,0.0,0.0,1817930,0.0,0.0,2,11011002021.0,7,3,99
1,1,12,0.0,0.0,0.0,1817930,0.0,0.0,1,11011002021.0,7,3,99
1,2,9,0.0,0.0,0.0,1817930,0.0,0.0,1,11011002021.0,7,3,99
1,1,41,0.0,0.0,384650.0,1817930,40.0,2.0,2,11011002021.0,7,1,32
1,1,21,0.0,0.0,175840.0,175840,29.0,2.0,2,11011002061.0,7,1,99
1,1,52,0.0,0.0,615300.0,1142750,85.0,2.0,2,11011003041.0,4,1,26
1,2,57,1.0,31.0,307650.0,1142750,72.0,2.0,2,11011003041.0,4,1,31
1,2,26,0.0,0.0,219800.0,1142750,45.0,2.0,2,11011003041.0,7,4,99
1,1,84,0.0,0.0,0.0,410200,0.0,0.0,1,11011003061.0,1,1,32
1,2,82,4.0,21.0,0.0,410200,0.0,0.0,1,11011003061.0,1,2,30
1,1,56,0.0,0.0,410200.0,410200,50.0,2.0,2,11011003061.0,3,3,99
1,1,38,0.0,0.0,0.0,410200,0.0,0.0,3,11011003061.0,4,3,99
1,2,52,0.0,0.0,0.0,410200,0.0,0.0,1,11011003061.0,4,3,99
1,1,51,0.0,0.0,0.0,0,0.0,0.0,1,11011004021.0,5,1,99
1,2,25,1.0,24.0,0.0,0,0.0,0.0,2,11011004031.0,7,1,25
1,1,0,0.0,0.0,0.0,0,0.0,0.0,1,11011004031.0,7,4,99
1,1,34,0.0,0.0,876636.0,1286836,43.0,2.0,3,11011004041.0,1,1,21
1,2,32,1.0,17.0,410200.0,1286836,40.0,2.0,2,11011004041.0,1,2,19
1,2,13,0.0,0.0,0.0,1286836,0.0,0.0,1,11011004041.0,7,3,99
1,1,56,0.0,0.0,0.0,690172,0.0,0.0,3,11011004081.0,1,1,99
1,2,28,0.0,0.0,690172.0,690172,15.0,2.0,2,11011004081.0,1,2,99
1,1,33,0.0,0.0,277498.0,499130,45.0,2.0,2,11011005021.0,2,1,99
1,2,40,3.0,16.0,221632.0,499130,45.0,2.0,1,11011005021.0,2,2,99
1,2,25,0.0,0.0,304418.0,676246,45.0,1.0,2,11011005031.0,2,1,99
1,1,21,0.0,0.0,371828.0,676246,45.0,2.0,2,11011005031.0,2,2,99
1,1,57,0.0,0.0,2256100.0,3085846,85.0,2.0,1,11011005041.0,1,1,56
1,2,63,3.0,30.0,0.0,3085846,85.0,2.0,1,11011005041.0,1,2,62
1,1,23,0.0,0.0,315963.0,3085846,40.0,2.0,3,11011005041.0,7,3,99
1,2,30,2.0,26.0,197820.0,3085846,45.0,2.0,3,11011005041.0,2,1,29
1,1,28,0.0,0.0,315963.0,3085846,17.0,2.0,3,11011005041.0,2,2,27
1,1,4,0.0,0.0,0.0,3085846,0.0,0.0,1,11011005041.0,7,3,99
1,1,1,0.0,0.0,0.0,3085846,0.0,0.0,1,11011005041.0,7,3,99
1,1,28,0.0,0.0,1806938.0,2391698,45.0,2.0,3,11011005111.0,2,1,28
1,2,24,1.0,24.0,584760.0,2391698,45.0,2.0,2,11011005111.0,2,2,24
1,1,0,0.0,0.0,0.0,2391698,0.0,0.0,1,11011005111.0,7,3,99
1,2,80,2.0,23.0,0.0,0,0.0,0.0,2,11011005121.0,7,1,99
1,1,21,0.0,0.0,0.0,0,0.0,0.0,3,11011005121.0,7,1,99
1,1,30,0.0,0.0,1485482.0,1485482,45.0,2.0,3,11011005151.0,1,1,99
1,2,27,0.0,0.0,0.0,1485482,0.0,0.0,2,11011005151.0,1,2,99
1,2,39,2.0,30.0,460851.0,1016949,45.0,2.0,3,11011005181.0,1,1,32
1,1,39,0.0,0.0,556098.0,1016949,45.0,2.0,3,11011005181.0,1,2,32
1,1,6,0.0,0.0,0.0,1016949,0.0,0.0,1,11011005181.0,7,3,99
1,2,7,0.0,0.0,0.0,1016949,0.0,0.0,1,11011005181.0,7,3,99
1,1,71,0.0,0.0,0.0,0,0.0,0.0,2,11011005201.0,1,1,99
1,2,71,2.0,26.0,0.0,0,0.0,0.0,2,11011005201.0,1,2,99
1,2,38,2.0,25.0,227127.0,1039104,45.0,2.0,2,11011005251.0,1,1,36
1,1,36,0.0,0.0,811977.0,1039104,47.0,2.0,2,11011005251.0,1,2,34
1,1,11,0.0,0.0,0.0,1039104,0.0,0.0,1,11011005251.0,7,3,99
1,1,2,0.0,0.0,0.0,1039104,0.0,0.0,1,11011005251.0,7,3,99
1,2,58,1.0,20.0,0.0,1039104,0.0,0.0,1,11011005251.0,7,1,56
