region,sexo,edad,s5,s6,yoprcor,yoprcorh,o10,o27,e6a,e6b
6,2,78,6.0,23.0,0.0,300000,0.0,0.0,2,2.0
6,1,72,0.0,0.0,0.0,300000,0.0,0.0,1,6.0
6,2,36,0.0,0.0,120000.0,300000,16.0,2.0,2,4.0
6,2,41,2.0,31.0,180000.0,300000,24.0,2.0,3,3.0
6,1,10,0.0,0.0,0.0,300000,0.0,0.0,1,4.0
6,2,8,0.0,0.0,0.0,300000,0.0,0.0,1,3.0
6,1,47,0.0,0.0,240000.0,480000,45.0,2.0,2,3.0
6,2,38,5.0,14.0,0.0,480000,0.0,0.0,1,8.0
6,1,18,0.0,0.0,0.0,480000,0.0,0.0,2,4.0
6,2,6,0.0,0.0,0.0,480000,0.0,0.0,1,0.0
6,2,1,0.0,0.0,0.0,480000,0.0,0.0,1,0.0
6,1,26,0.0,0.0,240000.0,480000,45.0,2.0,2,4.0
6,2,19,1.0,17.0,0.0,480000,0.0,0.0,2,3.0
6,1,2,0.0,0.0,0.0,480000,0.0,0.0,1,0.0
6,1,87,0.0,0.0,0.0,0,0.0,0.0,1,0.0
6,2,79,2.0,19.0,0.0,0,0.0,0.0,1,6.0
6,2,59,3.0,18.0,0.0,0,0.0,0.0,2,4.0
6,2,94,0.0,0.0,0.0,0,0.0,0.0,1,1.0
6,1,64,0.0,0.0,0.0,0,0.0,0.0,1,6.0
6,2,66,5.0,22.0,0.0,0,0.0,0.0,1,6.0
6,1,56,0.0,0.0,450000.0,450000,45.0,2.0,2,1.0
6,2,54,4.0,21.0,0.0,450000,0.0,0.0,2,4.0
6,2,17,0.0,0.0,0.0,450000,0.0,0.0,2,3.0
6,2,49,1.0,30.0,350000.0,350000,45.0,2.0,3,2.0
6,1,19,0.0,0.0,0.0,350000,0.0,0.0,2,4.0
6,2,76,2.0,27.0,0.0,350000,0.0,0.0,1,6.0
6,1,52,0.0,0.0,663000.0,663000,45.0,2.0,2,5.0
6,2,52,4.0,27.0,0.0,663000,0.0,0.0,2,4.0
6,2,20,0.0,0.0,0.0,663000,0.0,0.0,3,2.0
6,1,11,0.0,0.0,0.0,663000,0.0,0.0,1,6.0
6,1,40,0.0,0.0,1600000.0,2100000,0.0,2.0,3,5.0
6,2,38,4.0,25.0,500000.0,2100000,0.0,2.0,3,3.0
6,1,14,0.0,0.0,0.0,2100000,0.0,0.0,2,1.0
6,2,7,0.0,0.0,0.0,2100000,0.0,0.0,1,1.0
6,1,2,0.0,0.0,0.0,2100000,0.0,0.0,1,0.0
6,2,1,0.0,0.0,0.0,2100000,0.0,0.0,1,0.0
6,2,82,5.0,24.0,400000.0,1260000,45.0,2.0,2,3.0
6,2,50,1.0,31.0,650000.0,1260000,45.0,2.0,3,2.0
6,1,19,0.0,0.0,0.0,1260000,0.0,0.0,3,1.0
6,1,58,0.0,0.0,210000.0,1260000,45.0,2.0,3,1.0
6,1,48,0.0,0.0,800000.0,1400000,60.0,2.0,3,4.0
6,2,57,1.0,25.0,600000.0,1400000,72.0,2.0,3,2.0
6,2,65,7.0,24.0,0.0,50000,0.0,0.0,1,2.0
6,1,23,0.0,0.0,50000.0,50000,40.0,2.0,2,1.0
6,2,9,0.0,0.0,0.0,50000,0.0,0.0,1,3.0
6,2,50,1.0,25.0,270000.0,270000,45.0,2.0,2,1.0
6,2,25,1.0,19.0,0.0,270000,0.0,0.0,3,3.0
6,2,5,0.0,0.0,0.0,270000,0.0,0.0,1,0.0
6,1,24,0.0,0.0,210000.0,210000,56.0,2.0,2,1.0
6,2,20,1.0,16.0,0.0,210000,0.0,0.0,1,7.0
6,1,4,0.0,0.0,0.0,210000,0.0,0.0,1,0.0
6,1,58,0.0,0.0,730000.0,850000,0.0,2.0,1,5.0
6,2,35,2.0,17.0,120000.0,850000,2.0,2.0,2,4.0
6,2,18,0.0,0.0,0.0,850000,0.0,0.0,3,1.0
6,1,9,0.0,0.0,0.0,850000,0.0,0.0,1,4.0
6,1,28,0.0,0.0,1100000.0,1100000,70.0,2.0,3,3.0
6,2,27,2.0,19.0,0.0,1100000,0.0,0.0,3,3.0
6,1,8,0.0,0.0,0.0,1100000,0.0,0.0,1,2.0
6,1,3,0.0,0.0,0.0,1100000,0.0,0.0,1,0.0
6,2,61,3.0,30.0,0.0,250000,0.0,0.0,3,3.0
6,1,59,0.0,0.0,250000.0,250000,45.0,2.0,2,4.0
6,1,57,0.0,0.0,550000.0,750000,45.0,1.0,3,3.0
6,2,53,3.0,20.0,200000.0,750000,45.0,2.0,2,4.0
6,1,27,0.0,0.0,0.0,750000,0.0,0.0,3,2.0
6,1,57,0.0,0.0,380000.0,380000,60.0,2.0,2,4.0
6,2,53,3.0,18.0,0.0,380000,0.0,0.0,2,4.0
6,1,19,0.0,0.0,0.0,380000,0.0,0.0,3,1.0
6,2,39,2.0,20.0,380000.0,380000,45.0,2.0,2,5.0
6,2,19,1.0,17.0,0.0,380000,0.0,0.0,2,4.0
6,2,4,0.0,0.0,0.0,380000,0.0,0.0,1,0.0
6,2,2,0.0,0.0,0.0,380000,0.0,0.0,1,0.0
6,1,57,0.0,0.0,300000.0,600000,40.0,2.0,3,2.0
6,2,55,3.0,14.0,300000.0,600000,40.0,2.0,1,8.0
6,1,24,0.0,0.0,0.0,600000,0.0,0.0,3,4.0
6,1,60,0.0,0.0,580000.0,580000,40.0,2.0,2,6.0
6,2,50,5.0,19.0,0.0,580000,0.0,0.0,1,6.0
6,1,30,0.0,0.0,0.0,580000,0.0,0.0,3,2.0
6,2,23,0.0,0.0,0.0,580000,0.0,0.0,3,3.0
6,1,13,0.0,0.0,0.0,580000,0.0,0.0,1,8.0
6,2,11,0.0,0.0,0.0,580000,0.0,0.0,1,6.0
6,1,73,0.0,0.0,0.0,0,0.0,0.0,1,6.0
6,2,68,2.0,19.0,0.0,0,0.0,0.0,1,6.0
6,1,56,0.0,0.0,2000000.0,3000000,44.0,2.0,3,5.0
6,2,55,3.0,26.0,1000000.0,3000000,44.0,2.0,3,5.0
6,2,14,0.0,0.0,0.0,3000000,0.0,0.0,1,8.0
6,2,86,2.0,21.0,0.0,0,0.0,0.0,1,5.0
6,2,66,1.0,32.0,0.0,0,0.0,0.0,2,4.0
6,1,31,0.0,0.0,200000.0,300000,30.0,2.0,3,2.0
6,2,32,0.0,0.0,100000.0,300000,30.0,2.0,2,4.0
6,1,38,0.0,0.0,700000.0,700000,48.0,2.0,2,4.0
6,2,38,3.0,25.0,0.0,700000,0.0,0.0,3,2.0
6,1,13,0.0,0.0,0.0,700000,0.0,0.0,1,8.0
6,2,8,0.0,0.0,0.0,700000,0.0,0.0,1,3.0
6,2,5,0.0,0.0,0.0,700000,0.0,0.0,1,0.0
6,1,46,0.0,0.0,500000.0,500000,98.0,2.0,1,8.0
6,1,74,0.0,0.0,0.0,0,0.0,0.0,1,6.0
6,1,65,0.0,0.0,20000.0,641217,50.0,2.0,2,4.0
6,2,60,2.0,19.0,0.0,641217,0.0,0.0,2,4.0
6,2,40,1.0,28.0,411217.0,641217,48.0,2.0,3,2.0
6,1,39,0.0,0.0,210000.0,641217,50.0,2.0,3,2.0
6,2,9,0.0,0.0,0.0,641217,0.0,0.0,1,3.0
6,2,43,3.0,23.0,499000.0,499000,45.0,2.0,3,3.0
6,1,17,0.0,0.0,0.0,499000,0.0,0.0,2,4.0
6,2,16,0.0,0.0,0.0,499000,0.0,0.0,2,2.0
6,1,45,0.0,0.0,0.0,0,0.0,0.0,2,4.0
6,2,45,2.0,32.0,0.0,0,0.0,0.0,2,5.0
6,1,12,0.0,0.0,0.0,0,0.0,0.0,1,7.0
6,2,10,0.0,0.0,0.0,0,0.0,0.0,1,5.0
6,1,69,0.0,0.0,200000.0,200000,45.0,2.0,1,6.0
6,2,64,4.0,17.0,0.0,200000,0.0,0.0,2,2.0
6,1,60,0.0,0.0,0.0,0,0.0,0.0,2,2.0
6,1,93,0.0,0.0,0.0,120000,0.0,0.0,1,1.0
6,2,62,3.0,20.0,120000.0,120000,40.0,2.0,1,2.0
6,1,33,0.0,0.0,440597.0,720597,45.0,2.0,2,4.0
6,2,39,1.0,36.0,280000.0,720597,45.0,2.0,2,4.0
6,2,3,0.0,0.0,0.0,720597,0.0,0.0,1,0.0
6,1,61,0.0,0.0,400000.0,700000,50.0,2.0,2,6.0
6,2,41,4.0,17.0,0.0,700000,0.0,0.0,1,0.0
6,1,19,0.0,0.0,300000.0,700000,50.0,2.0,2,3.0
6,1,44,0.0,0.0,250000.0,508525,45.0,2.0,2,4.0
6,1,22,0.0,0.0,258525.0,508525,45.0,2.0,2,4.0
6,2,54,3.0,24.0,200000.0,200000,45.0,2.0,1,8.0
6,2,18,0.0,0.0,0.0,200000,0.0,0.0,3,1.0
