region,sexo,edad,s7,s8,ytrabaj,ytrabhaj,o10,o27,e6a,e6b
6,2,44,3.0,17.0,225610.0,225610,2.0,2.0,2,1
6,2,15,0.0,0.0,0.0,225610,0.0,0.0,2,2
6,2,35,2.0,22.0,972615.0,972615,45.0,1.0,3,1
6,2,14,0.0,0.0,0.0,972615,0.0,0.0,2,2
6,1,13,0.0,0.0,0.0,972615,0.0,0.0,1,2
6,2,62,2.0,32.0,1099000.0,1351770,45.0,2.0,3,1
6,1,34,0.0,0.0,0.0,1351770,0.0,0.0,3,2
6,2,31,0.0,0.0,252770.0,1351770,45.0,2.0,3,1
6,2,78,6.0,19.0,0.0,0,0.0,0.0,2,1
6,2,80,9.0,16.0,0.0,205100,0.0,0.0,2,2
6,2,58,2.0,25.0,205100.0,205100,13.0,2.0,3,2
6,2,54,2.0,18.0,549500.0,549500,40.0,2.0,3,1
6,2,28,0.0,0.0,0.0,549500,0.0,0.0,3,1
6,2,64,2.0,24.0,0.0,1263850,0.0,0.0,2,2
6,2,54,1.0,19.0,164850.0,1263850,30.0,2.0,1,2
6,1,34,0.0,0.0,1099000.0,1263850,33.0,2.0,3,1
6,2,68,3.0,18.0,0.0,0,0.0,0.0,2,2
6,2,85,9.0,17.0,0.0,0,0.0,0.0,1,1
6,2,55,1.0,18.0,0.0,0,0.0,0.0,2,1
6,2,62,0.0,0.0,0.0,0,0.0,0.0,2,2
6,1,56,0.0,0.0,0.0,0,0.0,0.0,1,1
6,1,30,0.0,0.0,471655.0,839271,45.0,2.0,3,1
6,2,31,1.0,28.0,367616.0,839271,40.0,2.0,3,1
6,1,2,0.0,0.0,0.0,839271,0.0,0.0,1,7
6,2,84,7.0,16.0,0.0,704275,0.0,0.0,1,1
6,1,21,0.0,0.0,0.0,704275,0.0,0.0,3,1
6,1,54,0.0,0.0,704275.0,704275,100.0,2.0,2,1
6,2,79,1.0,36.0,0.0,0,0.0,0.0,2,2
6,1,44,0.0,0.0,0.0,0,0.0,0.0,2,1
6,1,32,0.0,0.0,1333815.0,1333815,45.0,2.0,3,1
6,2,2,0.0,0.0,0.0,1333815,0.0,0.0,1,7
6,1,51,0.0,0.0,1428700.0,1428700,44.0,2.0,4,1
6,2,48,2.0,28.0,0.0,1428700,0.0,0.0,3,1
6,2,19,1.0,18.0,0.0,1428700,0.0,0.0,2,1
6,1,11,0.0,0.0,0.0,1428700,0.0,0.0,1,2
6,2,0,0.0,0.0,0.0,1428700,0.0,0.0,1,7
6,2,84,4.0,20.0,0.0,0,0.0,0.0,3,1
6,1,54,0.0,0.0,241780.0,656653,40.0,2.0,2,1
6,2,53,1.0,32.0,414873.0,656653,40.0,2.0,3,1
6,1,20,0.0,0.0,0.0,656653,0.0,0.0,3,2
6,1,41,0.0,0.0,1798044.0,3201453,70.0,2.0,2,1
6,2,31,1.0,29.0,1403409.0,3201453,45.0,1.0,3,1
6,1,1,0.0,0.0,0.0,3201453,0.0,0.0,1,7
6,1,68,0.0,0.0,0.0,0,0.0,0.0,1,1
6,2,68,5.0,21.0,0.0,0,0.0,0.0,1,1
6,2,47,0.0,0.0,0.0,0,0.0,0.0,1,7
6,2,40,0.0,0.0,0.0,0,0.0,0.0,3,2
6,1,76,0.0,0.0,0.0,0,0.0,0.0,2,1
6,2,68,3.0,17.0,0.0,0,0.0,0.0,2,2
6,1,51,0.0,0.0,2677604.0,2677604,48.0,2.0,3,1
6,1,25,0.0,0.0,0.0,2677604,0.0,0.0,3,2
6,2,21,0.0,0.0,0.0,2677604,0.0,0.0,3,2
6,1,74,0.0,0.0,0.0,669059,0.0,0.0,3,1
6,2,73,4.0,23.0,0.0,669059,0.0,0.0,2,1
6,1,31,0.0,0.0,669059.0,669059,20.0,2.0,3,1
6,1,90,0.0,0.0,0.0,349734,0.0,0.0,1,1
6,2,75,4.0,23.0,0.0,349734,0.0,0.0,1,1
6,1,45,0.0,0.0,349734.0,349734,10.0,2.0,2,1
6,2,12,0.0,0.0,0.0,349734,0.0,0.0,1,2
6,1,10,0.0,0.0,0.0,349734,0.0,0.0,1,2
6,1,79,0.0,0.0,0.0,0,0.0,0.0,2,1
6,2,72,4.0,25.0,0.0,0,0.0,0.0,1,1
6,1,78,0.0,0.0,0.0,225610,0.0,0.0,1,2
6,1,42,0.0,0.0,225610.0,225610,70.0,2.0,2,1
6,1,70,0.0,0.0,0.0,0,0.0,0.0,1,1
6,2,77,6.0,20.0,0.0,0,0.0,0.0,1,2
6,1,51,0.0,0.0,879200.0,879200,60.0,2.0,2,1
6,2,28,1.0,19.0,0.0,879200,0.0,0.0,3,1
6,2,46,2.0,18.0,0.0,879200,0.0,0.0,2,2
6,1,21,0.0,0.0,0.0,879200,0.0,0.0,3,2
6,1,8,0.0,0.0,0.0,879200,0.0,0.0,1,2
6,2,71,4.0,16.0,0.0,91950,0.0,0.0,1,2
6,1,64,0.0,0.0,0.0,91950,0.0,0.0,1,2
6,2,25,0.0,0.0,91950.0,91950,20.0,2.0,3,2
6,1,26,0.0,0.0,202400.0,202400,45.0,2.0,2,1
6,2,23,2.0,16.0,0.0,202400,0.0,0.0,1,1
6,2,6,0.0,0.0,0.0,202400,0.0,0.0,1,2
6,2,0,0.0,0.0,0.0,202400,0.0,0.0,1,7
6,2,50,4.0,21.0,0.0,0,0.0,0.0,1,2
6,1,9,0.0,0.0,0.0,0,0.0,0.0,1,2
6,1,32,0.0,0.0,552248.0,552248,60.0,2.0,2,1
6,2,48,1.0,21.0,0.0,552248,0.0,0.0,2,1
6,1,44,0.0,0.0,203773.0,402967,45.0,2.0,1,1
6,2,38,2.0,25.0,199194.0,402967,45.0,2.0,2,1
