region,sexo,edad,s4,s5,yoprcor,yoprcorh,o10,o26,e6a
13.0,2.0,29.0,1.0,19.0,1181644.0,1181644.0,5.0,2.0,3.0
13.0,1.0,30.0,0.0,0.0,501043.0,501043.0,40.0,2.0,2.0
13.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13.0,1.0,59.0,2.0,25.0,400000.0,400000.0,45.0,1.0,3.0
13.0,2.0,56.0,2.0,23.0,250000.0,250000.0,12.0,2.0,1.0
13.0,1.0,70.0,4.0,21.0,3000000.0,3000000.0,30.0,2.0,3.0
13.0,2.0,70.0,4.0,21.0,0.0,0.0,0.0,0.0,3.0
13.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
13.0,1.0,47.0,0.0,0.0,4600000.0,4600000.0,44.0,2.0,3.0
13.0,2.0,42.0,0.0,0.0,2000000.0,2000000.0,20.0,1.0,3.0
13.0,1.0,53.0,0.0,0.0,800000.0,800000.0,44.0,2.0,3.0
13.0,2.0,81.0,2.0,19.0,0.0,0.0,0.0,0.0,2.0
13.0,2.0,46.0,0.0,0.0,1000000.0,1000000.0,44.0,1.0,4.0
13.0,1.0,47.0,0.0,0.0,1000000.0,1000000.0,30.0,2.0,3.0
13.0,1.0,33.0,0.0,0.0,700000.0,700000.0,44.0,2.0,3.0
13.0,1.0,83.0,7.0,22.0,0.0,0.0,0.0,0.0,3.0
13.0,1.0,61.0,2.0,20.0,500000.0,500000.0,44.0,2.0,2.0
13.0,1.0,51.0,0.0,0.0,500000.0,500000.0,44.0,2.0,2.0
13.0,2.0,76.0,1.0,32.0,0.0,0.0,0.0,0.0,4.0
13.0,1.0,58.0,2.0,99.0,2000000.0,2000000.0,50.0,2.0,3.0
13.0,1.0,24.0,0.0,0.0,700000.0,700000.0,10.0,2.0,3.0
13.0,1.0,39.0,2.0,34.0,1600000.0,1600000.0,80.0,2.0,3.0
13.0,2.0,38.0,2.0,33.0,370000.0,370000.0,10.0,2.0,3.0
13.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13.0,2.0,27.0,0.0,0.0,2500000.0,2500000.0,44.0,2.0,3.0
13.0,1.0,33.0,0.0,0.0,700000.0,700000.0,30.0,2.0,3.0
13.0,2.0,32.0,0.0,0.0,2000000.0,2000000.0,44.0,2.0,4.0
13.0,1.0,29.0,0.0,0.0,2500000.0,2500000.0,44.0,2.0,4.0
13.0,1.0,78.0,3.0,25.0,0.0,0.0,0.0,0.0,3.0
13.0,2.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13.0,2.0,56.0,4.0,17.0,3000000.0,3000000.0,40.0,2.0,3.0
13.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
13.0,1.0,40.0,1.0,37.0,1500000.0,1500000.0,44.0,2.0,3.0
13.0,2.0,39.0,1.0,36.0,1000000.0,1000000.0,44.0,2.0,3.0
13.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13.0,2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13.0,2.0,52.0,0.0,0.0,400000.0,400000.0,25.0,2.0,2.0
13.0,1.0,62.0,0.0,0.0,700000.0,700000.0,44.0,2.0,3.0
13.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
13.0,1.0,80.0,3.0,23.0,400000.0,400000.0,44.0,2.0,3.0
13.0,2.0,30.0,0.0,0.0,1000000.0,1000000.0,44.0,2.0,3.0
13.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
13.0,1.0,42.0,0.0,0.0,500000.0,500000.0,44.0,2.0,3.0
13.0,2.0,24.0,0.0,0.0,1000000.0,1000000.0,44.0,2.0,3.0
13.0,1.0,24.0,0.0,0.0,1000000.0,1000000.0,44.0,2.0,3.0
13.0,1.0,43.0,3.0,33.0,1000000.0,1000000.0,44.0,2.0,3.0
13.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13.0,2.0,42.0,3.0,32.0,1500000.0,1500000.0,44.0,2.0,3.0
