region,sexo,edad,s7,s8,ytrabaj,ytrabhaj,o10,o27,e6a,e6b
13,2,36,0.0,0.0,1246266.0,1246266,45.0,1.0,4,1
13,1,28,0.0,0.0,499680.0,499680,45.0,2.0,3,2
13,2,38,0.0,0.0,856855.0,856855,30.0,1.0,3,1
13,1,33,0.0,0.0,1351677.0,1351677,45.0,1.0,3,1
13,2,29,0.0,0.0,444180.0,444180,45.0,2.0,3,1
13,2,32,0.0,0.0,579723.0,579723,10.0,1.0,3,2
13,2,45,1.0,23.0,1000365.0,1037731,45.0,2.0,3,1
13,2,22,0.0,0.0,37366.0,1037731,45.0,2.0,3,2
13,1,21,0.0,0.0,0.0,1037731,45.0,2.0,3,2
13,1,28,0.0,0.0,1582744.0,1582744,45.0,2.0,4,1
13,2,35,0.0,0.0,295815.0,295815,45.0,2.0,2,1
13,2,26,0.0,0.0,944223.0,3271722,47.0,1.0,3,1
13,1,28,0.0,0.0,2327499.0,3271722,60.0,1.0,4,2
13,1,36,0.0,0.0,2881212.0,4488500,45.0,2.0,4,2
13,2,35,0.0,0.0,1607288.0,4488500,45.0,2.0,4,2
13,2,35,0.0,0.0,1784370.0,3110046,55.0,1.0,3,1
13,1,40,0.0,0.0,369180.0,3110046,19.0,2.0,3,1
13,1,36,0.0,0.0,956496.0,3110046,45.0,2.0,3,1
13,1,36,0.0,0.0,1164161.0,2507825,45.0,1.0,3,1
13,2,35,0.0,0.0,1343664.0,2507825,45.0,1.0,3,1
13,2,35,0.0,0.0,1381077.0,1381077,50.0,2.0,4,2
13,1,29,0.0,0.0,1978200.0,2857400,48.0,1.0,3,1
13,2,26,0.0,0.0,879200.0,2857400,72.0,2.0,3,1
13,1,71,0.0,0.0,0.0,0,0.0,0.0,3,1
13,2,33,1.0,22.0,1861697.0,2234249,25.0,1.0,3,1
13,1,35,0.0,0.0,372552.0,2234249,40.0,1.0,3,2
13,1,10,0.0,0.0,0.0,2234249,0.0,0.0,1,2
13,2,27,0.0,0.0,1744479.0,1744479,45.0,2.0,3,1
13,1,67,0.0,0.0,0.0,711053,0.0,0.0,1,7
13,2,38,2.0,13.0,216503.0,711053,45.0,2.0,2,1
13,2,25,1.0,22.0,164850.0,711053,45.0,2.0,2,1
13,1,23,0.0,0.0,329700.0,711053,45.0,2.0,3,1
13,1,3,0.0,0.0,0.0,711053,0.0,0.0,1,7
13,2,30,0.0,0.0,562275.0,1316875,50.0,1.0,3,1
13,1,28,0.0,0.0,754600.0,1316875,35.0,1.0,3,1
13,2,67,1.0,38.0,0.0,791280,0.0,0.0,3,1
13,1,29,0.0,0.0,791280.0,791280,45.0,2.0,3,1
13,1,27,0.0,0.0,164850.0,164850,10.0,2.0,3,2
13,1,36,0.0,0.0,1038415.0,1038415,47.0,1.0,3,1
13,2,48,4.0,17.0,329700.0,969409,45.0,2.0,3,1
13,1,49,0.0,0.0,639709.0,969409,45.0,2.0,2,1
13,2,20,0.0,0.0,0.0,969409,0.0,0.0,3,2
13,2,32,2.0,28.0,497663.0,1885975,20.0,2.0,2,1
13,1,28,0.0,0.0,579173.0,1885975,30.0,2.0,2,1
13,2,4,0.0,0.0,0.0,1885975,0.0,0.0,1,7
13,2,4,0.0,0.0,0.0,1885975,0.0,0.0,1,7
13,1,39,0.0,0.0,576975.0,1885975,30.0,2.0,2,1
13,2,33,2.0,14.0,232164.0,1885975,45.0,2.0,1,2
13,2,41,1.0,18.0,241780.0,241780,25.0,2.0,2,2
13,1,32,0.0,0.0,252000.0,1830164,0.0,0.0,3,2
13,2,25,0.0,0.0,1578164.0,1830164,45.0,2.0,3,1
13,2,87,1.0,40.0,0.0,0,0.0,0.0,3,1
13,2,15,0.0,0.0,0.0,0,0.0,0.0,2,2
13,2,32,2.0,26.0,225610.0,225610,2.0,2.0,2,1
13,2,6,0.0,0.0,0.0,225610,0.0,0.0,1,2
13,2,4,0.0,0.0,0.0,225610,0.0,0.0,1,7
13,2,72,4.0,20.0,0.0,0,0.0,0.0,2,1
