region,sexo,edad,s5,s6,yoprcor,yoprcorh,o10,o27,e6a,e6b
9,2,48,3.0,17.0,0.0,160000,0.0,0.0,1,8.0
9,2,70,0.0,0.0,0.0,160000,0.0,0.0,1,8.0
9,1,63,0.0,0.0,160000.0,160000,45.0,2.0,2,4.0
9,2,18,0.0,0.0,0.0,160000,0.0,0.0,2,4.0
9,2,47,0.0,0.0,270000.0,270000,72.0,2.0,3,1.0
9,2,57,3.0,18.0,370000.0,370000,50.0,2.0,3,2.0
9,2,48,1.0,24.0,300000.0,300000,25.0,2.0,3,4.0
9,2,61,4.0,19.0,0.0,300000,0.0,0.0,3,2.0
9,1,48,0.0,0.0,300000.0,300000,50.0,2.0,2,4.0
9,2,41,2.0,20.0,300000.0,300000,45.0,2.0,3,5.0
9,2,19,0.0,0.0,0.0,300000,0.0,0.0,3,1.0
9,2,21,0.0,0.0,0.0,300000,0.0,0.0,3,2.0
9,2,59,6.0,16.0,0.0,800000,0.0,0.0,1,8.0
9,2,22,0.0,0.0,0.0,800000,0.0,0.0,3,5.0
9,1,26,0.0,0.0,0.0,800000,0.0,0.0,3,6.0
9,2,30,0.0,0.0,400000.0,800000,45.0,2.0,3,5.0
9,2,34,3.0,23.0,150000.0,800000,20.0,2.0,3,5.0
9,2,4,0.0,0.0,0.0,800000,0.0,0.0,1,0.0
9,1,11,0.0,0.0,0.0,800000,0.0,0.0,1,6.0
9,2,1,0.0,0.0,0.0,800000,0.0,0.0,1,0.0
9,1,62,0.0,0.0,250000.0,800000,50.0,2.0,2,4.0
9,1,16,0.0,0.0,0.0,800000,0.0,0.0,2,3.0
9,1,57,0.0,0.0,120000.0,240000,40.0,2.0,2,4.0
9,2,55,3.0,25.0,120000.0,240000,30.0,2.0,3,3.0
9,1,24,0.0,0.0,0.0,240000,0.0,0.0,3,4.0
9,1,55,0.0,0.0,180000.0,180000,25.0,2.0,3,3.0
9,1,65,0.0,0.0,550000.0,550000,25.0,2.0,3,3.0
