region,sexo,edad,s4,s5,yoprcor,yoprcorh,o10,o27,e6a
9,1,69,0.0,0.0,800000.0,800000,48.0,0.0,2
9,2,69,6.0,26.0,0.0,0,0.0,0.0,3
9,2,41,0.0,0.0,0.0,0,0.0,0.0,3
9,1,38,0.0,0.0,600000.0,600000,45.0,0.0,3
9,1,20,0.0,0.0,0.0,0,0.0,0.0,3
9,1,20,0.0,0.0,0.0,0,0.0,0.0,3
9,2,28,1.0,24.0,20000.0,20000,15.0,0.0,2
9,2,4,0.0,0.0,0.0,0,0.0,0.0,1
9,1,54,0.0,0.0,1000000.0,1000000,30.0,0.0,3
9,2,34,0.0,0.0,0.0,0,0.0,0.0,3
9,1,86,0.0,0.0,0.0,0,0.0,0.0,2
9,2,75,1.0,29.0,0.0,0,0.0,0.0,2
9,2,46,1.0,23.0,400000.0,400000,40.0,0.0,3
9,1,44,0.0,0.0,500000.0,500000,40.0,0.0,3
9,1,23,0.0,0.0,0.0,0,0.0,0.0,3
9,1,24,0.0,0.0,140000.0,140000,12.0,5.0,2
9,1,30,0.0,0.0,564164.0,564164,30.0,0.0,3
9,1,53,0.0,0.0,750000.0,750000,70.0,0.0,2
9,2,62,2.0,41.0,0.0,0,0.0,0.0,2
9,1,21,0.0,0.0,0.0,0,70.0,0.0,2
9,2,20,0.0,0.0,0.0,0,0.0,0.0,3
9,1,66,0.0,0.0,0.0,0,0.0,0.0,3
9,2,58,2.0,34.0,900000.0,900000,40.0,0.0,3
9,2,15,0.0,0.0,0.0,0,0.0,0.0,2
9,2,51,2.0,20.0,450000.0,450000,45.0,0.0,3
9,2,28,1.0,18.0,350000.0,350000,40.0,0.0,3
9,2,10,0.0,0.0,0.0,0,0.0,0.0,1
9,1,25,0.0,0.0,0.0,0,0.0,0.0,3
9,1,22,0.0,0.0,0.0,0,0.0,0.0,3
9,2,25,0.0,0.0,100000.0,100000,10.0,0.0,3
9,1,35,0.0,0.0,300000.0,300000,45.0,2.0,3
9,2,63,5.0,18.0,0.0,0,0.0,0.0,1
9,2,50,2.0,27.0,180000.0,180000,40.0,0.0,1
9,1,22,0.0,0.0,0.0,0,0.0,0.0,3
9,2,10,0.0,0.0,0.0,0,0.0,0.0,1
9,1,43,0.0,0.0,272083.0,272083,45.0,0.0,4
9,1,18,0.0,0.0,0.0,0,0.0,0.0,3
9,2,18,0.0,0.0,0.0,0,0.0,0.0,3
9,2,21,0.0,0.0,0.0,0,0.0,0.0,3
9,2,21,0.0,0.0,0.0,0,0.0,0.0,3
9,2,50,1.0,19.0,700000.0,700000,55.0,0.0,3
9,1,21,0.0,0.0,0.0,0,0.0,0.0,3
9,1,38,0.0,0.0,250000.0,250000,40.0,0.0,3
9,2,37,2.0,27.0,250000.0,250000,40.0,0.0,2
9,2,10,0.0,0.0,0.0,0,0.0,0.0,1
9,2,6,0.0,0.0,0.0,0,0.0,0.0,1
9,1,39,0.0,0.0,4000000.0,4000000,45.0,0.0,3
9,2,32,99.0,0.0,850000.0,850000,60.0,5.0,3
