region,sexo,edad,s5,s6,yoprcor,yoprcorh,o10,o27,e6a,e6b
8,1,47,0.0,0.0,500000.0,800000,9.0,2.0,3,3.0
8,2,44,1.0,25.0,0.0,800000,0.0,0.0,2,4.0
8,1,78,0.0,0.0,300000.0,800000,9.0,2.0,2,6.0
8,2,73,3.0,99.0,0.0,800000,0.0,0.0,2,6.0
8,2,18,0.0,0.0,0.0,800000,0.0,0.0,3,1.0
8,1,35,0.0,0.0,500000.0,1500000,30.0,2.0,3,6.0
8,2,37,1.0,18.0,1000000.0,1500000,30.0,2.0,3,5.0
8,1,17,0.0,0.0,0.0,1500000,0.0,0.0,2,4.0
8,1,31,0.0,0.0,1500000.0,2200000,45.0,2.0,3,4.0
8,2,33,2.0,99.0,700000.0,2200000,45.0,2.0,3,3.0
8,1,9,0.0,0.0,0.0,2200000,0.0,0.0,1,4.0
8,1,10,0.0,0.0,0.0,2200000,0.0,0.0,1,3.0
8,1,60,0.0,0.0,1500000.0,1778000,45.0,2.0,3,7.0
8,2,60,2.0,17.0,278000.0,1778000,54.0,2.0,3,7.0
8,1,76,0.0,0.0,0.0,0,0.0,0.0,3,7.0
8,1,25,0.0,0.0,0.0,0,0.0,0.0,3,5.0
8,1,50,0.0,0.0,462648.0,712648,45.0,2.0,2,4.0
8,2,46,1.0,30.0,250000.0,712648,45.0,2.0,3,3.0
8,1,16,0.0,0.0,0.0,712648,0.0,0.0,2,2.0
8,2,24,99.0,0.0,0.0,0,0.0,0.0,3,5.0
8,1,19,0.0,0.0,0.0,0,0.0,0.0,3,2.0
8,1,68,0.0,0.0,0.0,0,0.0,0.0,3,5.0
8,2,66,2.0,20.0,0.0,0,0.0,0.0,3,5.0
8,2,44,0.0,0.0,230000.0,230000,45.0,2.0,3,3.0
8,2,18,0.0,0.0,0.0,230000,0.0,0.0,3,1.0
8,1,22,0.0,0.0,0.0,0,0.0,0.0,3,3.0
8,1,22,0.0,0.0,0.0,0,0.0,0.0,3,2.0
8,1,24,0.0,0.0,0.0,0,0.0,0.0,3,3.0
8,1,68,0.0,0.0,0.0,0,0.0,0.0,3,5.0
8,2,66,3.0,18.0,0.0,0,0.0,0.0,3,5.0
8,1,25,0.0,0.0,0.0,0,0.0,0.0,3,5.0
8,1,57,0.0,0.0,1800000.0,2500000,45.0,2.0,3,6.0
8,2,54,2.0,19.0,700000.0,2500000,45.0,2.0,3,3.0
8,1,25,0.0,0.0,0.0,2500000,0.0,0.0,3,4.0
8,2,68,1.0,28.0,1800000.0,2400000,44.0,2.0,3,5.0
8,1,65,0.0,0.0,600000.0,2400000,20.0,1.0,3,3.0
8,1,58,0.0,0.0,260000.0,470000,8.0,2.0,2,3.0
8,2,51,2.0,22.0,0.0,470000,0.0,0.0,1,8.0
8,2,29,1.0,24.0,210000.0,470000,60.0,2.0,3,3.0
8,1,22,0.0,0.0,0.0,470000,0.0,0.0,3,3.0
8,1,5,0.0,0.0,0.0,470000,0.0,0.0,1,0.0
8,1,78,0.0,0.0,0.0,0,0.0,0.0,2,1.0
8,2,78,3.0,22.0,0.0,0,0.0,0.0,2,3.0
8,1,36,0.0,0.0,650000.0,950000,45.0,2.0,3,5.0
8,2,51,3.0,22.0,300000.0,950000,45.0,2.0,3,2.0
8,2,29,0.0,0.0,0.0,950000,0.0,0.0,3,4.0
8,1,23,0.0,0.0,0.0,950000,0.0,0.0,3,2.0
