region,sexo,edad,s5,s6,yoprcor,yoprcorh,o10,o27,e6a,e6b
3,2,80,5.0,99.0,0.0,400000,0.0,0.0,1,4.0
3,1,50,0.0,0.0,400000.0,400000,48.0,2.0,1,4.0
3,2,41,2.0,21.0,0.0,0,0.0,0.0,2,4.0
3,2,1,0.0,0.0,0.0,0,0.0,0.0,1,0.0
3,2,59,2.0,24.0,600000.0,600000,30.0,2.0,3,5.0
3,1,34,0.0,0.0,300000.0,300000,54.0,2.0,2,4.0
3,2,28,2.0,19.0,0.0,300000,0.0,0.0,2,4.0
3,2,9,0.0,0.0,0.0,300000,0.0,0.0,1,0.0
3,1,7,0.0,0.0,0.0,300000,0.0,0.0,1,1.0
3,1,37,0.0,0.0,210000.0,1050000,45.0,2.0,2,4.0
3,2,23,0.0,0.0,210000.0,1050000,45.0,2.0,2,4.0
3,1,20,0.0,0.0,210000.0,1050000,45.0,2.0,2,4.0
3,2,32,3.0,18.0,210000.0,1050000,45.0,2.0,2,4.0
3,1,25,0.0,0.0,210000.0,1050000,45.0,2.0,2,4.0
3,1,41,0.0,0.0,900000.0,1300000,66.0,2.0,2,4.0
3,2,31,3.0,15.0,400000.0,1300000,54.0,2.0,2,4.0
3,2,16,1.0,15.0,0.0,1300000,0.0,0.0,2,3.0
3,1,14,0.0,0.0,0.0,1300000,0.0,0.0,2,1.0
3,1,9,0.0,0.0,0.0,1300000,0.0,0.0,1,4.0
3,2,0,0.0,0.0,0.0,1300000,0.0,0.0,1,0.0
3,1,36,0.0,0.0,755000.0,1355000,66.0,2.0,3,5.0
3,2,35,2.0,23.0,600000.0,1355000,45.0,2.0,3,3.0
3,1,12,0.0,0.0,0.0,1355000,0.0,0.0,1,6.0
3,2,7,0.0,0.0,0.0,1355000,0.0,0.0,1,1.0
3,1,39,0.0,0.0,1200000.0,1450000,48.0,2.0,2,4.0
3,2,44,3.0,23.0,250000.0,1450000,48.0,2.0,3,2.0
3,1,14,0.0,0.0,0.0,1450000,0.0,0.0,1,7.0
3,2,1,0.0,0.0,0.0,1450000,0.0,0.0,1,0.0
3,2,50,0.0,0.0,80000.0,80000,0.0,1.0,3,2.0
3,2,57,2.0,99.0,4000000.0,4600000,0.0,2.0,3,5.0
3,1,29,0.0,0.0,600000.0,4600000,45.0,2.0,3,3.0
3,1,51,0.0,0.0,700000.0,1250000,44.0,2.0,3,5.0
3,2,48,1.0,35.0,550000.0,1250000,44.0,2.0,3,5.0
3,1,13,0.0,0.0,0.0,1250000,0.0,0.0,1,7.0
3,2,43,3.0,24.0,150000.0,150000,1.0,2.0,2,4.0
3,2,19,0.0,0.0,0.0,150000,0.0,0.0,3,2.0
3,2,7,0.0,0.0,0.0,150000,0.0,0.0,1,1.0
3,2,1,0.0,0.0,0.0,150000,0.0,0.0,1,0.0
3,2,82,0.0,0.0,0.0,150000,0.0,0.0,1,5.0
3,1,48,0.0,0.0,450000.0,850000,84.0,2.0,3,2.0
3,2,38,1.0,34.0,0.0,850000,0.0,0.0,2,2.0
3,2,4,0.0,0.0,0.0,850000,0.0,0.0,1,0.0
3,2,27,0.0,0.0,400000.0,850000,60.0,2.0,2,4.0
3,2,57,2.0,18.0,0.0,850000,0.0,0.0,1,3.0
3,2,78,3.0,25.0,0.0,850000,0.0,0.0,1,3.0
3,2,94,0.0,0.0,0.0,850000,0.0,0.0,1,0.0
3,2,62,0.0,0.0,0.0,260000,0.0,0.0,2,4.0
3,1,93,0.0,0.0,260000.0,260000,45.0,2.0,3,3.0
3,1,60,0.0,0.0,0.0,0,0.0,0.0,2,4.0
3,2,60,2.0,20.0,0.0,0,0.0,0.0,3,3.0
3,1,59,0.0,0.0,400000.0,1300000,24.0,2.0,2,4.0
3,1,3,0.0,0.0,0.0,1300000,0.0,0.0,1,0.0
3,2,83,5.0,17.0,0.0,1300000,0.0,0.0,2,2.0
3,1,92,0.0,0.0,0.0,1300000,0.0,0.0,2,5.0
3,2,60,1.0,19.0,0.0,1300000,0.0,0.0,2,1.0
3,2,55,99.0,0.0,900000.0,1300000,45.0,2.0,3,5.0
3,1,50,0.0,0.0,1000000.0,1000000,48.0,2.0,2,4.0
3,1,62,0.0,0.0,250000.0,450000,45.0,2.0,2,4.0
3,2,61,3.0,19.0,0.0,450000,0.0,0.0,2,2.0
3,1,40,0.0,0.0,200000.0,450000,45.0,2.0,3,4.0
3,1,49,0.0,0.0,0.0,400000,0.0,0.0,3,3.0
3,1,28,0.0,0.0,400000.0,400000,120.0,2.0,2,4.0
3,1,49,0.0,0.0,1000000.0,1800000,72.0,2.0,3,2.0
3,2,47,2.0,30.0,800000.0,1800000,45.0,2.0,3,4.0
3,2,16,0.0,0.0,0.0,1800000,0.0,0.0,2,3.0
3,2,11,0.0,0.0,0.0,1800000,0.0,0.0,1,6.0
3,2,43,3.0,17.0,0.0,400000,0.0,0.0,2,3.0
3,1,42,0.0,0.0,400000.0,400000,58.0,2.0,2,1.0
3,2,24,0.0,0.0,0.0,400000,0.0,0.0,2,4.0
3,1,16,0.0,0.0,0.0,400000,0.0,0.0,2,2.0
3,1,5,0.0,0.0,0.0,400000,0.0,0.0,1,0.0
3,1,52,0.0,0.0,800000.0,1600000,0.0,2.0,3,3.0
3,2,47,2.0,16.0,0.0,1600000,0.0,0.0,2,3.0
3,1,28,0.0,0.0,800000.0,1600000,25.0,2.0,3,5.0
3,2,23,0.0,0.0,0.0,1600000,0.0,0.0,3,2.0
3,1,73,0.0,0.0,0.0,0,0.0,0.0,2,1.0
3,2,80,2.0,23.0,0.0,0,0.0,0.0,1,4.0
3,1,57,0.0,0.0,0.0,0,0.0,0.0,3,4.0
3,2,30,1.0,28.0,0.0,0,0.0,0.0,3,3.0
3,2,2,0.0,0.0,0.0,0,0.0,0.0,1,0.0
3,2,25,0.0,0.0,600000.0,600000,44.0,2.0,3,5.0
3,1,26,0.0,0.0,2100000.0,3000000,45.0,2.0,3,5.0
3,1,24,0.0,0.0,900000.0,3000000,45.0,2.0,3,3.0
3,1,29,0.0,0.0,1300000.0,2300000,45.0,2.0,3,4.0
3,2,30,1.0,28.0,1000000.0,2300000,45.0,2.0,3,4.0
3,1,1,0.0,0.0,0.0,2300000,0.0,0.0,1,0.0
3,1,40,0.0,0.0,1800000.0,1800000,45.0,2.0,3,5.0
3,1,31,0.0,0.0,1200000.0,1200000,45.0,2.0,3,5.0
3,1,30,0.0,0.0,1200000.0,1200000,45.0,2.0,3,5.0
3,2,40,1.0,28.0,900000.0,900000,70.0,2.0,3,5.0
3,1,31,0.0,0.0,0.0,650000,45.0,2.0,2,4.0
3,2,26,1.0,25.0,350000.0,650000,45.0,2.0,2,4.0
3,1,18,0.0,0.0,300000.0,650000,45.0,2.0,2,4.0
3,2,0,0.0,0.0,0.0,650000,0.0,0.0,1,0.0
3,2,60,2.0,23.0,600000.0,600000,44.0,2.0,3,2.0
3,1,40,0.0,0.0,1600000.0,1850000,44.0,2.0,3,5.0
3,2,36,2.0,32.0,250000.0,1850000,16.0,2.0,3,5.0
3,1,4,0.0,0.0,0.0,1850000,0.0,0.0,1,0.0
3,2,1,0.0,0.0,0.0,1850000,0.0,0.0,1,0.0
3,1,44,0.0,0.0,1200000.0,1200000,48.0,2.0,3,5.0
3,1,32,0.0,0.0,1000000.0,1000000,48.0,2.0,2,4.0
3,1,49,0.0,0.0,3000000.0,3000000,48.0,2.0,3,5.0
3,1,45,0.0,0.0,1270000.0,1270000,44.0,2.0,3,5.0
3,1,35,0.0,0.0,0.0,380000,0.0,0.0,3,3.0
3,2,35,1.0,34.0,380000.0,380000,45.0,2.0,3,2.0
3,2,1,0.0,0.0,0.0,380000,0.0,0.0,1,0.0
3,1,37,0.0,0.0,650000.0,650000,84.0,2.0,3,2.0
3,1,37,0.0,0.0,650000.0,650000,84.0,2.0,2,4.0
3,1,22,0.0,0.0,684000.0,684000,84.0,2.0,3,1.0
3,2,20,0.0,0.0,0.0,684000,0.0,0.0,3,2.0
3,1,28,0.0,0.0,900000.0,900000,44.0,2.0,4,7.0
3,1,28,0.0,0.0,600000.0,600000,44.0,2.0,3,5.0
3,1,38,0.0,0.0,0.0,1800000,0.0,0.0,3,6.0
3,2,40,2.0,35.0,1800000.0,1800000,40.0,2.0,3,6.0
3,2,0,0.0,0.0,0.0,1800000,0.0,0.0,1,0.0
3,1,4,0.0,0.0,0.0,1800000,0.0,0.0,1,0.0
3,1,38,0.0,0.0,1300000.0,1300000,60.0,2.0,3,5.0
3,2,52,0.0,0.0,600000.0,600000,105.0,2.0,3,5.0
3,2,80,5.0,21.0,0.0,600000,0.0,0.0,2,6.0
3,1,54,0.0,0.0,0.0,600000,0.0,0.0,3,3.0
3,1,45,0.0,0.0,900000.0,900000,44.0,2.0,4,5.0
3,1,73,0.0,0.0,0.0,200000,0.0,0.0,2,3.0
3,2,56,2.0,20.0,200000.0,200000,48.0,2.0,2,1.0
3,2,66,0.0,0.0,0.0,0,0.0,0.0,3,5.0
3,2,61,0.0,0.0,0.0,0,0.0,0.0,2,4.0
3,1,72,0.0,0.0,0.0,0,0.0,0.0,2,2.0
3,2,57,5.0,16.0,0.0,0,0.0,0.0,2,4.0
3,2,26,0.0,0.0,0.0,0,0.0,0.0,3,3.0
3,1,17,0.0,0.0,0.0,0,0.0,0.0,2,3.0
