region,sexo,edad,s4,s5,yoprcor,yoprcorh,o10,o26,e6a
3.0,2.0,63.0,99.0,0.0,0.0,0.0,45.0,2.0,2.0
3.0,1.0,33.0,99.0,0.0,500000.0,500000.0,45.0,2.0,3.0
3.0,2.0,34.0,3.0,18.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,15.0,99.0,0.0,0.0,0.0,0.0,0.0,2.0
3.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.0,2.0,65.0,2.0,99.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,93.0,3.0,99.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,84.0,2.0,21.0,0.0,0.0,0.0,0.0,3.0
3.0,2.0,74.0,2.0,18.0,0.0,0.0,0.0,0.0,2.0
3.0,2.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,2.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
3.0,1.0,74.0,1.0,32.0,0.0,0.0,0.0,0.0,1.0
3.0,2.0,75.0,1.0,33.0,0.0,0.0,0.0,0.0,1.0
3.0,1.0,63.0,2.0,18.0,300000.0,300000.0,50.0,2.0,2.0
3.0,2.0,65.0,2.0,20.0,0.0,0.0,0.0,0.0,2.0
3.0,2.0,42.0,3.0,22.0,400000.0,400000.0,45.0,2.0,2.0
3.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.0,2.0,74.0,0.0,0.0,200000.0,200000.0,40.0,2.0,2.0
3.0,1.0,59.0,2.0,28.0,400000.0,400000.0,50.0,2.0,2.0
3.0,2.0,64.0,2.0,33.0,0.0,0.0,0.0,0.0,2.0
3.0,1.0,30.0,0.0,0.0,700000.0,700000.0,45.0,1.0,3.0
3.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,2.0,70.0,1.0,29.0,200000.0,200000.0,10.0,2.0,3.0
3.0,1.0,73.0,1.0,32.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,40.0,99.0,0.0,350000.0,350000.0,45.0,2.0,3.0
3.0,2.0,81.0,2.0,21.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,82.0,2.0,22.0,0.0,0.0,0.0,0.0,3.0
3.0,2.0,72.0,1.0,99.0,0.0,0.0,0.0,0.0,2.0
3.0,2.0,62.0,2.0,30.0,0.0,0.0,0.0,0.0,1.0
3.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.0,1.0,31.0,0.0,0.0,1009615.0,1009615.0,20.0,2.0,2.0
3.0,2.0,48.0,2.0,23.0,400000.0,400000.0,20.0,2.0,2.0
3.0,2.0,76.0,2.0,19.0,0.0,0.0,0.0,0.0,1.0
3.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
