region,sexo,edad,s4,s5,yoprcor,yoprcorh,o10,o26,e6a,folio,ecivil,pco2,nv
10.0,1.0,75.0,4.0,23.0,0.0,0.0,0.0,0.0,2.0,1010110010101.0,1.0,1.0,99
10.0,2.0,73.0,4.0,21.0,0.0,0.0,0.0,0.0,2.0,1010110010101.0,1.0,2.0,99
10.0,2.0,62.0,3.0,35.0,1300000.0,1300000.0,45.0,2.0,3.0,1010110010201.0,1.0,1.0,40
10.0,1.0,67.0,3.0,40.0,1700000.0,1700000.0,45.0,2.0,3.0,1010110010201.0,1.0,2.0,45
10.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1010110010201.0,8.0,4.0,99
10.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1010110010201.0,8.0,4.0,99
10.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1010110010201.0,8.0,4.0,99
10.0,2.0,60.0,3.0,33.0,0.0,0.0,0.0,0.0,2.0,1010110020201.0,5.0,1.0,59
10.0,2.0,93.0,8.0,22.0,0.0,0.0,0.0,0.0,1.0,1010110020201.0,7.0,13.0,99
10.0,2.0,25.0,0.0,0.0,450000.0,450000.0,45.0,2.0,3.0,1010110020201.0,8.0,5.0,99
10.0,1.0,23.0,1.0,22.0,450000.0,450000.0,45.0,2.0,2.0,1010110020201.0,2.0,1.0,22
10.0,2.0,23.0,1.0,22.0,0.0,0.0,0.0,0.0,2.0,1010110020201.0,2.0,2.0,22
10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1010110020201.0,8.0,4.0,99
10.0,1.0,57.0,1.0,25.0,450000.0,450000.0,50.0,2.0,3.0,1010110020301.0,5.0,1.0,99
10.0,2.0,71.0,4.0,19.0,0.0,0.0,0.0,0.0,1.0,1010110020401.0,7.0,1.0,99
10.0,1.0,60.0,3.0,21.0,200000.0,200000.0,45.0,2.0,2.0,1010110030101.0,1.0,1.0,46
10.0,2.0,54.0,3.0,18.0,0.0,0.0,0.0,0.0,1.0,1010110030101.0,1.0,2.0,21
10.0,1.0,37.0,3.0,20.0,560000.0,560000.0,45.0,2.0,2.0,1010110030101.0,5.0,1.0,23
10.0,2.0,33.0,0.0,0.0,600000.0,600000.0,45.0,2.0,3.0,1010110030101.0,8.0,4.0,99
10.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1010110030101.0,8.0,5.0,99
10.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1010110030101.0,8.0,5.0,99
10.0,2.0,51.0,4.0,19.0,270000.0,270000.0,45.0,2.0,2.0,1010110030201.0,5.0,1.0,24
10.0,2.0,27.0,0.0,0.0,600000.0,600000.0,45.0,2.0,3.0,1010110030201.0,8.0,5.0,99
10.0,1.0,62.0,2.0,39.0,1500000.0,1500000.0,45.0,2.0,2.0,1010110040101.0,8.0,1.0,99
10.0,2.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1010110040301.0,8.0,1.0,99
10.0,2.0,49.0,1.0,31.0,300000.0,300000.0,48.0,2.0,3.0,1010110050101.0,8.0,1.0,99
