region,sexo,edad,s4,s5,yoprcor,yoprcorh,o10,o27,e6a
10,2,69,3.0,24.0,0.0,0,0.0,0.0,1
10,1,66,0.0,0.0,300000.0,300000,45.0,0.0,1
10,1,61,0.0,0.0,0.0,0,0.0,0.0,1
10,2,61,5.0,15.0,0.0,0,0.0,0.0,1
10,1,26,0.0,0.0,0.0,0,0.0,0.0,1
10,1,4,0.0,0.0,0.0,0,0.0,0.0,1
10,2,32,1.0,19.0,300000.0,300000,45.0,0.0,2
10,1,13,0.0,0.0,0.0,0,0.0,0.0,1
10,1,32,0.0,0.0,800000.0,800000,60.0,0.0,3
10,2,34,1.0,18.0,300000.0,300000,49.0,0.0,2
10,2,52,2.0,24.0,0.0,0,0.0,0.0,1
10,2,5,0.0,0.0,0.0,0,0.0,0.0,1
10,2,26,0.0,0.0,353729.0,353729,45.0,0.0,3
10,2,23,1.0,17.0,20000.0,20000,2.0,0.0,2
10,1,62,0.0,0.0,0.0,0,0.0,0.0,1
10,2,54,6.0,18.0,0.0,0,0.0,0.0,3
10,1,20,0.0,0.0,0.0,0,0.0,0.0,2
10,2,18,0.0,0.0,0.0,0,0.0,0.0,2
10,1,38,0.0,0.0,280000.0,280000,45.0,0.0,2
10,2,40,3.0,19.0,340000.0,340000,48.0,0.0,3
10,1,20,0.0,0.0,0.0,0,0.0,0.0,3
10,1,12,0.0,0.0,0.0,0,0.0,0.0,1
10,1,4,0.0,0.0,0.0,0,0.0,0.0,1
10,1,47,0.0,0.0,430000.0,430000,45.0,0.0,2
10,2,54,3.0,20.0,350000.0,350000,45.0,0.0,2
10,1,30,0.0,0.0,350000.0,350000,45.0,0.0,2
10,2,19,0.0,0.0,0.0,0,0.0,0.0,2
10,1,57,0.0,0.0,370000.0,370000,45.0,0.0,1
10,2,31,2.0,22.0,400000.0,400000,45.0,0.0,3
10,2,8,0.0,0.0,0.0,0,0.0,0.0,1
10,2,2,0.0,0.0,0.0,0,0.0,0.0,1
10,1,23,0.0,0.0,450000.0,450000,55.0,0.0,3
10,2,28,0.0,0.0,100000.0,100000,45.0,0.0,3
10,2,47,2.0,25.0,241000.0,241000,45.0,0.0,2
10,2,22,0.0,0.0,0.0,0,0.0,0.0,3
10,2,13,0.0,0.0,0.0,0,0.0,0.0,1
10,1,65,0.0,0.0,200000.0,200000,20.0,0.0,2
10,2,50,1.0,28.0,0.0,0,0.0,0.0,3
10,1,25,0.0,0.0,0.0,0,0.0,0.0,3
10,2,84,3.0,18.0,0.0,0,0.0,0.0,2
10,1,30,0.0,0.0,300000.0,300000,40.0,0.0,2
10,2,69,1.0,39.0,0.0,0,0.0,0.0,2
10,2,26,2.0,19.0,241000.0,241000,40.0,0.0,2
10,2,7,0.0,0.0,0.0,0,0.0,0.0,1
10,2,5,0.0,0.0,0.0,0,0.0,0.0,1
10,2,70,3.0,20.0,0.0,0,0.0,0.0,1
10,2,42,1.0,28.0,0.0,0,0.0,0.0,1
10,1,13,0.0,0.0,0.0,0,0.0,0.0,1
10,1,66,0.0,0.0,800000.0,800000,50.0,0.0,1
10,2,64,2.0,19.0,0.0,0,0.0,0.0,1
10,1,60,0.0,0.0,200000.0,200000,45.0,2.0,2
10,2,58,2.0,22.0,400000.0,400000,45.0,0.0,2
10,2,35,1.0,21.0,0.0,0,0.0,0.0,3
10,1,14,0.0,0.0,0.0,0,0.0,0.0,1
10,2,66,3.0,23.0,0.0,0,0.0,0.0,1
10,1,63,0.0,0.0,250000.0,250000,50.0,0.0,1
10,1,18,0.0,0.0,0.0,0,0.0,0.0,3
10,1,52,0.0,0.0,600000.0,600000,45.0,0.0,2
10,1,26,0.0,0.0,500000.0,500000,75.0,0.0,3
10,1,67,0.0,0.0,0.0,0,0.0,0.0,1
10,2,61,3.0,27.0,40000.0,40000,25.0,0.0,1
10,2,23,99.0,0.0,300000.0,300000,45.0,0.0,2
10,1,56,0.0,0.0,250000.0,250000,45.0,0.0,1
10,2,58,2.0,24.0,0.0,0,0.0,0.0,1
10,1,55,0.0,0.0,150000.0,150000,30.0,0.0,1
10,2,55,6.0,19.0,0.0,0,0.0,0.0,1
10,2,29,1.0,23.0,250000.0,250000,45.0,0.0,1
10,2,27,2.0,19.0,250000.0,250000,45.0,0.0,2
10,2,8,0.0,0.0,0.0,0,0.0,0.0,1
10,1,7,0.0,0.0,0.0,0,0.0,0.0,1
10,2,2,0.0,0.0,0.0,0,0.0,0.0,1
10,2,60,3.0,15.0,250000.0,250000,40.0,0.0,1
10,1,44,0.0,0.0,0.0,0,0.0,0.0,1
10,1,24,0.0,0.0,30000.0,30000,40.0,0.0,2
10,2,32,3.0,20.0,320000.0,320000,45.0,0.0,2
10,1,11,0.0,0.0,0.0,0,0.0,0.0,1
