region,sexo,edad,s4,s5,yoprcor,yoprcorh,o10,o26,e6a,folio,ecivil,pco2,nv
14.0,2.0,40.0,0.0,0.0,400000.0,400000.0,45.0,2.0,3.0,1410110010201.0,8.0,1.0,99
14.0,2.0,45.0,0.0,0.0,330000.0,330000.0,45.0,2.0,3.0,1410110010201.0,8.0,13.0,99
14.0,2.0,79.0,3.0,30.0,0.0,0.0,0.0,0.0,1.0,1410110010201.0,7.0,13.0,99
14.0,2.0,41.0,5.0,18.0,0.0,0.0,0.0,0.0,2.0,1410110020101.0,5.0,1.0,39
14.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1410110020101.0,8.0,5.0,99
14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1410110020101.0,8.0,5.0,99
14.0,2.0,28.0,0.0,0.0,96000.0,96000.0,16.0,1.0,3.0,1410110020201.0,8.0,1.0,99
14.0,2.0,44.0,3.0,18.0,70000.0,70000.0,30.0,2.0,3.0,1410110020301.0,7.0,1.0,24
14.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1410110020301.0,8.0,5.0,99
14.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1410110020301.0,8.0,5.0,99
14.0,2.0,32.0,2.0,19.0,250000.0,250000.0,45.0,2.0,2.0,1410110020401.0,2.0,1.0,29
14.0,1.0,35.0,2.0,22.0,250000.0,250000.0,45.0,2.0,1.0,1410110020401.0,2.0,2.0,32
14.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1410110020401.0,8.0,4.0,99
14.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1410110020401.0,8.0,4.0,99
14.0,1.0,51.0,0.0,0.0,280000.0,280000.0,45.0,2.0,2.0,1410110020501.0,8.0,1.0,99
14.0,1.0,36.0,0.0,0.0,280000.0,280000.0,45.0,2.0,2.0,1410110020501.0,8.0,1.0,99
14.0,1.0,42.0,4.0,20.0,300000.0,300000.0,45.0,2.0,2.0,1410110020601.0,1.0,1.0,35
14.0,2.0,49.0,4.0,27.0,150000.0,150000.0,10.0,2.0,2.0,1410110020601.0,1.0,2.0,42
14.0,2.0,22.0,0.0,0.0,270000.0,270000.0,45.0,2.0,3.0,1410110020601.0,8.0,4.0,99
14.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1410110020601.0,8.0,4.0,99
14.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1410110020601.0,8.0,4.0,99
14.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1410110020601.0,8.0,4.0,99
14.0,2.0,38.0,3.0,19.0,200000.0,200000.0,6.0,2.0,2.0,1410110020701.0,5.0,1.0,27
14.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1410110020701.0,8.0,5.0,99
14.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1410110020701.0,8.0,5.0,99
14.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1410110020701.0,8.0,5.0,99
14.0,2.0,21.0,1.0,16.0,140000.0,140000.0,20.0,2.0,3.0,1410110020801.0,8.0,1.0,99
14.0,1.0,59.0,1.0,22.0,0.0,0.0,0.0,0.0,2.0,1410110020901.0,5.0,1.0,99
14.0,2.0,66.0,4.0,27.0,500000.0,500000.0,45.0,2.0,2.0,1410110021001.0,1.0,1.0,39
14.0,1.0,64.0,4.0,27.0,1200000.0,1200000.0,45.0,2.0,3.0,1410110021001.0,1.0,2.0,37
14.0,2.0,36.0,0.0,0.0,593269.0,593269.0,45.0,2.0,3.0,1410110021001.0,8.0,4.0,99
14.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1410110021001.0,8.0,4.0,99
14.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1410110021001.0,8.0,4.0,99
14.0,2.0,27.0,0.0,0.0,586604.0,586604.0,45.0,2.0,3.0,1410110021001.0,8.0,4.0,99
14.0,2.0,40.0,2.0,28.0,300000.0,300000.0,20.0,2.0,3.0,1410110021101.0,6.0,1.0,31
14.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1410110021101.0,8.0,5.0,99
14.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1410110021101.0,8.0,5.0,99
14.0,1.0,66.0,4.0,24.0,400000.0,400000.0,40.0,2.0,2.0,1410110021102.0,1.0,1.0,37
14.0,2.0,66.0,4.0,24.0,0.0,0.0,0.0,0.0,3.0,1410110021102.0,1.0,2.0,37
14.0,2.0,29.0,0.0,0.0,300000.0,300000.0,45.0,2.0,2.0,1410110021102.0,8.0,4.0,99
14.0,1.0,29.0,0.0,0.0,650000.0,650000.0,45.0,2.0,3.0,1410110021401.0,2.0,1.0,99
14.0,2.0,34.0,5.0,17.0,310000.0,310000.0,48.0,2.0,99.0,1410110021401.0,2.0,2.0,26
