region,sexo,edad,s5,s6,yoprcor,yoprcorh,o10,o27,e6a,e6b
7,1,55,0.0,0.0,0.0,0,0.0,0.0,1,0.0
7,1,81,0.0,0.0,0.0,0,0.0,0.0,3,5.0
7,2,81,5.0,19.0,0.0,0,0.0,0.0,2,3.0
7,1,55,0.0,0.0,0.0,0,0.0,0.0,3,5.0
7,1,53,0.0,0.0,0.0,0,0.0,0.0,3,5.0
7,2,36,0.0,0.0,800000.0,800000,45.0,2.0,3,3.0
7,2,69,3.0,21.0,0.0,800000,0.0,0.0,1,8.0
7,2,72,6.0,19.0,0.0,0,0.0,0.0,99,99.0
7,1,55,0.0,0.0,1500000.0,1500000,40.0,2.0,3,5.0
7,1,61,0.0,0.0,2000000.0,2000000,30.0,2.0,3,6.0
7,1,30,0.0,0.0,850000.0,850000,45.0,2.0,3,5.0
7,2,29,0.0,0.0,1000000.0,1000000,40.0,2.0,3,5.0
7,2,73,3.0,19.0,0.0,0,0.0,0.0,3,3.0
7,2,90,5.0,20.0,0.0,0,0.0,0.0,2,2.0
7,1,28,0.0,0.0,600000.0,600000,40.0,2.0,3,3.0
7,1,38,0.0,0.0,1800000.0,1800000,40.0,2.0,3,6.0
7,1,35,0.0,0.0,1200000.0,1200000,40.0,2.0,3,5.0
7,2,33,0.0,0.0,0.0,1200000,0.0,0.0,2,4.0
7,2,68,4.0,24.0,100000.0,527229,20.0,2.0,1,7.0
7,1,56,0.0,0.0,234229.0,527229,54.0,2.0,2,1.0
7,1,21,0.0,0.0,193000.0,527229,54.0,2.0,2,4.0
7,1,13,0.0,0.0,0.0,527229,0.0,0.0,1,7.0
7,2,59,2.0,21.0,0.0,506842,0.0,0.0,2,4.0
7,2,76,1.0,16.0,0.0,506842,0.0,0.0,1,4.0
7,1,34,0.0,0.0,253421.0,506842,30.0,2.0,1,8.0
7,1,28,0.0,0.0,253421.0,506842,30.0,2.0,1,8.0
7,2,8,0.0,0.0,0.0,506842,0.0,0.0,1,2.0
7,2,67,1.0,33.0,0.0,0,48.0,2.0,1,6.0
7,1,34,0.0,0.0,0.0,0,0.0,0.0,3,3.0
7,1,64,0.0,0.0,400000.0,400000,60.0,2.0,1,8.0
7,1,55,0.0,0.0,350000.0,470000,60.0,2.0,2,3.0
7,2,55,4.0,19.0,0.0,470000,0.0,0.0,2,4.0
7,2,35,0.0,0.0,120000.0,470000,24.0,2.0,3,5.0
7,2,67,0.0,0.0,0.0,220000,0.0,0.0,2,2.0
7,1,55,0.0,0.0,220000.0,220000,45.0,2.0,1,8.0
7,2,82,11.0,17.0,0.0,0,0.0,0.0,1,0.0
7,1,37,0.0,0.0,0.0,0,0.0,0.0,2,3.0
7,1,73,0.0,0.0,160000.0,160000,42.0,2.0,1,4.0
7,2,73,5.0,21.0,0.0,160000,0.0,0.0,1,5.0
7,1,26,0.0,0.0,210000.0,520000,45.0,2.0,1,8.0
7,2,25,2.0,19.0,0.0,520000,0.0,0.0,2,2.0
7,1,32,0.0,0.0,210000.0,520000,45.0,2.0,2,4.0
7,2,36,2.0,14.0,100000.0,520000,17.0,2.0,1,6.0
7,1,6,0.0,0.0,0.0,520000,0.0,0.0,1,1.0
7,1,0,0.0,0.0,0.0,520000,0.0,0.0,1,0.0
7,2,30,1.0,19.0,210000.0,210000,23.0,2.0,3,3.0
7,1,31,0.0,0.0,0.0,210000,0.0,0.0,2,2.0
7,2,10,0.0,0.0,0.0,210000,0.0,0.0,1,4.0
7,1,42,0.0,0.0,280000.0,510000,45.0,2.0,1,8.0
7,2,42,3.0,21.0,0.0,510000,0.0,0.0,2,4.0
7,2,40,0.0,0.0,0.0,510000,0.0,0.0,2,4.0
7,1,42,0.0,0.0,230000.0,510000,45.0,2.0,1,7.0
7,1,13,0.0,0.0,0.0,510000,0.0,0.0,1,7.0
7,1,6,0.0,0.0,0.0,510000,0.0,0.0,1,0.0
7,2,72,7.0,24.0,50000.0,50000,60.0,2.0,1,6.0
7,1,53,0.0,0.0,0.0,95000,0.0,0.0,2,4.0
7,2,52,3.0,21.0,95000.0,95000,45.0,2.0,2,2.0
7,2,23,1.0,21.0,0.0,210000,0.0,0.0,2,4.0
7,1,25,0.0,0.0,210000.0,210000,45.0,2.0,2,4.0
7,2,1,0.0,0.0,0.0,210000,0.0,0.0,1,0.0
7,1,65,0.0,0.0,200000.0,780000,66.0,2.0,1,0.0
7,1,37,0.0,0.0,280000.0,780000,45.0,2.0,1,8.0
7,1,40,0.0,0.0,300000.0,780000,45.0,2.0,1,8.0
7,2,65,3.0,19.0,170000.0,170000,45.0,2.0,1,4.0
7,1,13,0.0,0.0,0.0,170000,0.0,0.0,1,5.0
7,1,57,0.0,0.0,1197000.0,1197000,60.0,2.0,1,8.0
7,2,59,3.0,24.0,0.0,1197000,0.0,0.0,2,2.0
7,1,47,0.0,0.0,0.0,1197000,0.0,0.0,1,0.0
7,1,24,0.0,0.0,0.0,1197000,0.0,0.0,2,4.0
7,1,48,0.0,0.0,0.0,1197000,0.0,0.0,1,0.0
7,2,52,0.0,0.0,0.0,1197000,0.0,0.0,1,0.0
7,2,54,0.0,0.0,0.0,1197000,0.0,0.0,1,0.0
7,2,70,5.0,19.0,50000.0,310000,24.0,2.0,1,3.0
7,1,65,0.0,0.0,0.0,310000,0.0,0.0,2,2.0
7,1,30,0.0,0.0,260000.0,310000,45.0,2.0,2,4.0
7,2,27,1.0,21.0,0.0,310000,0.0,0.0,2,4.0
7,2,5,0.0,0.0,0.0,310000,0.0,0.0,1,0.0
7,1,67,0.0,0.0,0.0,178000,0.0,0.0,1,6.0
7,2,62,4.0,19.0,178000.0,178000,45.0,2.0,2,4.0
