region,sexo,edad,s7,s8,ytrabaj,ytrabhaj,o10,o27,e6a,e6b
7,1,44,0.0,0.0,0.0,1022070,40.0,2.0,3,1
7,2,40,3.0,37.0,1022070.0,1022070,30.0,2.0,4,1
7,2,3,0.0,0.0,0.0,1022070,0.0,0.0,1,7
7,1,2,0.0,0.0,0.0,1022070,0.0,0.0,1,7
7,2,0,0.0,0.0,0.0,1022070,0.0,0.0,1,7
7,1,34,0.0,0.0,2198000.0,2298000,50.0,2.0,3,2
7,2,35,1.0,34.0,100000.0,2298000,20.0,1.0,4,2
7,2,1,0.0,0.0,0.0,2298000,0.0,0.0,1,7
7,1,49,0.0,0.0,205100.0,615300,2.0,2.0,2,1
7,1,61,0.0,0.0,205100.0,615300,10.0,2.0,2,1
7,1,49,0.0,0.0,205100.0,615300,10.0,2.0,2,1
7,2,63,0.0,0.0,0.0,0,0.0,0.0,3,1
7,2,85,0.0,0.0,0.0,0,0.0,0.0,1,1
7,2,45,0.0,0.0,222913.0,0,45.0,2.0,2,1
7,2,75,2.0,25.0,0.0,0,0.0,0.0,2,2
7,1,48,0.0,0.0,0.0,0,45.0,2.0,3,2
7,1,68,0.0,0.0,0.0,1141128,0.0,0.0,3,1
7,1,30,0.0,0.0,697865.0,1141128,45.0,2.0,3,1
7,2,62,1.0,32.0,0.0,1141128,0.0,0.0,3,1
7,1,60,0.0,0.0,443263.0,1141128,45.0,2.0,3,1
7,2,67,2.0,24.0,0.0,0,0.0,0.0,2,2
7,2,73,3.0,15.0,0.0,0,0.0,0.0,1,2
7,2,54,2.0,21.0,0.0,865238,0.0,0.0,2,1
7,1,58,0.0,0.0,458608.0,865238,45.0,2.0,2,1
7,2,33,2.0,23.0,203315.0,865238,44.0,2.0,3,1
7,1,37,0.0,0.0,203315.0,865238,45.0,2.0,2,1
7,1,10,0.0,0.0,0.0,865238,0.0,0.0,1,2
7,1,6,0.0,0.0,0.0,865238,0.0,0.0,1,7
7,1,65,0.0,0.0,0.0,0,0.0,0.0,2,2
7,2,64,1.0,29.0,0.0,0,0.0,0.0,1,1
7,2,35,0.0,0.0,0.0,0,0.0,0.0,3,2
7,2,83,2.0,99.0,0.0,181335,0.0,0.0,2,2
7,2,58,2.0,33.0,181335.0,181335,45.0,2.0,2,1
7,2,59,0.0,0.0,0.0,181335,0.0,0.0,2,1
7,1,16,0.0,0.0,0.0,181335,0.0,0.0,2,2
7,2,23,0.0,0.0,0.0,181335,0.0,0.0,3,2
7,1,56,0.0,0.0,279330.0,696880,45.0,2.0,2,2
7,2,55,5.0,24.0,109900.0,696880,48.0,2.0,2,2
7,2,13,0.0,0.0,0.0,696880,0.0,0.0,1,2
7,2,21,1.0,17.0,0.0,696880,0.0,0.0,2,2
7,2,4,0.0,0.0,0.0,696880,0.0,0.0,1,7
7,2,46,0.0,0.0,0.0,696880,0.0,0.0,1,7
7,1,36,0.0,0.0,307650.0,696880,40.0,2.0,2,2
7,2,32,4.0,19.0,0.0,696880,0.0,0.0,2,2
7,2,13,0.0,0.0,0.0,696880,0.0,0.0,1,2
7,2,11,0.0,0.0,0.0,696880,0.0,0.0,1,2
