region,sexo,edad,s4,s5,yoprcor,yoprcorh,o10,o26,e6a
4.0,2.0,36.0,2.0,23.0,0.0,0.0,0.0,0.0,2.0
4.0,1.0,37.0,2.0,24.0,600000.0,600000.0,45.0,2.0,2.0
4.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.0,2.0,82.0,5.0,21.0,0.0,0.0,0.0,0.0,2.0
4.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,2.0,70.0,1.0,99.0,0.0,0.0,0.0,0.0,3.0
4.0,2.0,42.0,3.0,18.0,700000.0,700000.0,45.0,2.0,2.0
4.0,1.0,28.0,0.0,0.0,1200000.0,1200000.0,45.0,2.0,3.0
4.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
4.0,1.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,2.0,32.0,1.0,28.0,112000.0,112000.0,10.0,2.0,3.0
4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.0,2.0,43.0,1.0,24.0,600000.0,600000.0,45.0,2.0,3.0
4.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,1.0,62.0,4.0,20.0,1200000.0,1200000.0,45.0,2.0,2.0
4.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,2.0,48.0,4.0,19.0,276000.0,276000.0,45.0,2.0,2.0
4.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,2.0,40.0,1.0,25.0,900000.0,900000.0,45.0,2.0,3.0
4.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
4.0,2.0,79.0,7.0,15.0,0.0,0.0,0.0,0.0,1.0
4.0,1.0,59.0,2.0,29.0,650000.0,650000.0,45.0,2.0,2.0
4.0,2.0,73.0,1.0,99.0,0.0,0.0,0.0,0.0,2.0
4.0,1.0,45.0,1.0,36.0,260000.0,260000.0,45.0,2.0,3.0
4.0,2.0,45.0,1.0,36.0,260000.0,260000.0,45.0,2.0,3.0
4.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.0,1.0,53.0,1.0,20.0,340000.0,340000.0,45.0,2.0,2.0
4.0,2.0,85.0,4.0,19.0,0.0,0.0,0.0,0.0,2.0
4.0,2.0,50.0,2.0,20.0,316000.0,316000.0,45.0,2.0,2.0
4.0,2.0,86.0,7.0,20.0,0.0,0.0,0.0,0.0,1.0
4.0,2.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.0,2.0,55.0,0.0,0.0,164000.0,164000.0,48.0,2.0,1.0
4.0,1.0,69.0,3.0,29.0,250000.0,250000.0,45.0,2.0,3.0
4.0,2.0,63.0,4.0,20.0,0.0,0.0,0.0,0.0,2.0
4.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,2.0,80.0,1.0,30.0,0.0,0.0,0.0,0.0,3.0
4.0,2.0,45.0,2.0,20.0,0.0,0.0,0.0,0.0,2.0
4.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,1.0,26.0,0.0,0.0,300000.0,300000.0,45.0,2.0,3.0
4.0,1.0,47.0,2.0,25.0,200000.0,200000.0,45.0,2.0,3.0
