region,sexo,edad,s4,s5,yoprcor,yoprcorh,o10,o26,e6a,folio,ecivil,pco2,nv
9.0,2.0,67.0,3.0,23.0,60000.0,60000.0,78.0,2.0,1.0,910110010201.0,8.0,1.0,43
9.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,910110010201.0,8.0,5.0,99
9.0,1.0,82.0,5.0,30.0,0.0,0.0,0.0,0.0,2.0,910110020101.0,7.0,1.0,44
9.0,1.0,48.0,2.0,32.0,300000.0,300000.0,84.0,2.0,2.0,910110020101.0,8.0,5.0,99
9.0,1.0,38.0,2.0,21.0,250000.0,250000.0,84.0,2.0,2.0,910110020101.0,8.0,5.0,99
9.0,2.0,45.0,3.0,20.0,400000.0,400000.0,45.0,2.0,3.0,910110020102.0,5.0,1.0,27
9.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,910110020102.0,8.0,5.0,99
9.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,910110020102.0,8.0,5.0,99
9.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,910110020102.0,8.0,5.0,99
9.0,1.0,51.0,3.0,25.0,500000.0,500000.0,45.0,2.0,3.0,910110020301.0,6.0,1.0,99
9.0,1.0,88.0,4.0,30.0,0.0,0.0,0.0,0.0,2.0,910110020401.0,1.0,1.0,31
9.0,2.0,83.0,4.0,25.0,0.0,0.0,0.0,0.0,2.0,910110020401.0,1.0,2.0,26
9.0,2.0,57.0,2.0,24.0,500000.0,500000.0,20.0,2.0,3.0,910110020401.0,8.0,4.0,99
9.0,1.0,90.0,3.0,34.0,0.0,0.0,35.0,2.0,3.0,910110030101.0,7.0,1.0,40
9.0,2.0,50.0,1.0,18.0,240000.0,240000.0,40.0,2.0,3.0,910110030101.0,8.0,5.0,99
9.0,1.0,46.0,0.0,0.0,900000.0,900000.0,44.0,2.0,3.0,910110030201.0,1.0,1.0,99
9.0,2.0,46.0,0.0,0.0,400000.0,400000.0,60.0,2.0,3.0,910110030201.0,1.0,2.0,99
9.0,2.0,26.0,99.0,0.0,250000.0,250000.0,22.0,2.0,3.0,910110030301.0,8.0,1.0,99
9.0,1.0,29.0,1.0,18.0,0.0,0.0,0.0,0.0,3.0,910110030301.0,2.0,1.0,99
9.0,2.0,20.0,1.0,18.0,0.0,0.0,0.0,0.0,3.0,910110030301.0,2.0,2.0,99
9.0,2.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,910110030401.0,8.0,1.0,36
9.0,2.0,51.0,0.0,0.0,200000.0,200000.0,25.0,2.0,3.0,910110030401.0,7.0,5.0,99
9.0,2.0,60.0,2.0,27.0,600000.0,600000.0,40.0,2.0,3.0,910110040101.0,1.0,1.0,99
9.0,1.0,60.0,2.0,27.0,300000.0,300000.0,50.0,2.0,2.0,910110040101.0,1.0,2.0,99
9.0,2.0,43.0,0.0,0.0,400000.0,400000.0,50.0,2.0,3.0,910110040101.0,8.0,13.0,99
9.0,2.0,82.0,2.0,20.0,0.0,0.0,0.0,0.0,2.0,910110040101.0,7.0,1.0,99
9.0,1.0,97.0,5.0,24.0,0.0,0.0,0.0,0.0,1.0,910110040201.0,7.0,1.0,35
9.0,2.0,62.0,3.0,29.0,0.0,0.0,0.0,0.0,3.0,910110040201.0,5.0,5.0,99
9.0,1.0,74.0,2.0,24.0,0.0,0.0,0.0,0.0,2.0,910110040301.0,1.0,1.0,99
9.0,2.0,72.0,2.0,22.0,0.0,0.0,0.0,0.0,2.0,910110040301.0,1.0,2.0,99
