region,sexo,edad,s7,s8,ytrabaj,ytrabhaj,o10,o27,e6a,e6b
14,2,47,3.0,17.0,30000.0,30000,0.0,0.0,3,2
14,2,17,0.0,0.0,0.0,30000,0.0,0.0,2,2
14,2,37,1.0,23.0,0.0,0,0.0,0.0,2,2
14,2,13,0.0,0.0,0.0,0,0.0,0.0,1,2
14,2,32,0.0,0.0,1133619.0,1133619,45.0,2.0,3,1
14,2,73,3.0,24.0,0.0,615300,0.0,0.0,1,1
14,2,52,0.0,0.0,615300.0,615300,45.0,2.0,3,2
14,1,56,0.0,0.0,895686.0,1680556,60.0,2.0,3,2
14,2,50,1.0,27.0,784870.0,1680556,60.0,2.0,3,1
14,2,59,3.0,28.0,0.0,246120,8.0,2.0,3,1
14,1,24,0.0,0.0,246120.0,246120,18.0,2.0,3,2
14,2,86,10.0,20.0,0.0,61530,0.0,0.0,2,1
14,2,22,0.0,0.0,61530.0,61530,8.0,2.0,3,2
14,2,77,0.0,0.0,0.0,0,0.0,0.0,1,2
14,2,33,0.0,0.0,552248.0,552248,45.0,2.0,3,1
14,1,23,0.0,0.0,0.0,552248,0.0,0.0,3,2
14,2,67,2.0,26.0,164850.0,575050,40.0,2.0,1,2
14,1,39,0.0,0.0,410200.0,575050,40.0,2.0,2,1
14,2,24,0.0,0.0,190036.0,190036,20.0,2.0,3,2
14,1,88,0.0,0.0,0.0,801368,0.0,0.0,1,1
14,1,35,0.0,0.0,410200.0,801368,40.0,2.0,3,2
14,2,58,3.0,26.0,0.0,801368,0.0,0.0,1,1
14,2,33,0.0,0.0,391168.0,801368,45.0,2.0,3,1
14,1,31,0.0,0.0,1640800.0,2153550,5.0,2.0,3,1
14,2,29,1.0,20.0,512750.0,2153550,24.0,2.0,3,1
14,1,8,0.0,0.0,0.0,2153550,0.0,0.0,1,2
14,2,32,1.0,20.0,410200.0,410200,14.0,2.0,3,1
14,2,11,0.0,0.0,0.0,410200,0.0,0.0,1,2
14,1,36,0.0,0.0,734498.0,734498,20.0,1.0,4,1
14,1,65,0.0,0.0,2564333.0,2564333,40.0,2.0,3,1
14,2,64,2.0,18.0,0.0,2564333,0.0,0.0,2,1
14,2,16,0.0,0.0,0.0,2564333,0.0,0.0,2,2
14,1,50,0.0,0.0,3255962.0,4140657,50.0,2.0,3,2
14,2,50,2.0,28.0,719845.0,4140657,40.0,2.0,3,1
14,1,24,0.0,0.0,164850.0,4140657,8.0,2.0,3,2
14,1,66,0.0,0.0,1250000.0,1250000,0.0,0.0,4,1
14,2,65,3.0,25.0,0.0,1250000,0.0,0.0,3,1
14,1,59,0.0,0.0,769300.0,2307900,30.0,2.0,4,1
14,2,57,2.0,26.0,1099000.0,2307900,44.0,2.0,4,1
14,2,33,0.0,0.0,439600.0,2307900,30.0,2.0,4,2
14,1,68,0.0,0.0,0.0,0,0.0,0.0,3,1
14,2,68,0.0,0.0,0.0,0,0.0,0.0,3,1
14,1,39,0.0,0.0,666727.0,666727,70.0,2.0,3,2
14,2,29,1.0,22.0,0.0,666727,0.0,0.0,3,2
14,1,6,0.0,0.0,0.0,666727,0.0,0.0,1,2
14,2,68,3.0,27.0,0.0,0,0.0,0.0,4,1
14,1,69,0.0,0.0,943460.0,943460,10.0,2.0,4,1
14,2,69,2.0,26.0,0.0,943460,0.0,0.0,3,1
14,2,71,0.0,0.0,0.0,446011,0.0,0.0,1,1
14,2,61,3.0,17.0,0.0,446011,0.0,0.0,2,2
14,1,33,0.0,0.0,222548.0,446011,48.0,2.0,2,1
14,1,35,0.0,0.0,223463.0,446011,48.0,2.0,2,1
14,2,32,0.0,0.0,0.0,446011,0.0,0.0,2,1
14,2,28,0.0,0.0,0.0,446011,0.0,0.0,2,1
14,1,11,0.0,0.0,0.0,446011,0.0,0.0,1,2
14,2,0,0.0,0.0,0.0,446011,0.0,0.0,1,7
14,1,6,0.0,0.0,0.0,446011,0.0,0.0,1,2
14,2,57,4.0,18.0,148365.0,199640,50.0,2.0,2,2
14,1,44,0.0,0.0,51275.0,199640,20.0,2.0,2,2
14,1,19,0.0,0.0,0.0,199640,0.0,0.0,2,1
14,2,17,0.0,0.0,0.0,199640,0.0,0.0,2,2
14,1,55,0.0,0.0,0.0,224380,0.0,0.0,1,2
14,2,45,1.0,14.0,0.0,224380,0.0,0.0,1,2
14,1,85,0.0,0.0,0.0,224380,0.0,0.0,1,2
14,1,31,0.0,0.0,224380.0,224380,44.0,2.0,1,1
14,2,53,2.0,17.0,369180.0,779380,20.0,2.0,1,2
14,2,28,0.0,0.0,410200.0,779380,20.0,2.0,2,2
14,2,50,2.0,20.0,117334.0,117334,60.0,2.0,2,1
14,1,28,0.0,0.0,0.0,117334,0.0,0.0,3,1
14,2,83,6.0,27.0,0.0,384650,0.0,0.0,1,2
14,1,55,0.0,0.0,0.0,384650,0.0,0.0,2,1
14,1,23,0.0,0.0,219800.0,384650,48.0,2.0,2,1
14,2,47,1.0,24.0,164850.0,384650,48.0,2.0,2,1
14,1,73,0.0,0.0,0.0,0,0.0,0.0,2,2
14,2,72,4.0,18.0,0.0,0,0.0,0.0,1,1
14,2,43,0.0,0.0,0.0,0,0.0,0.0,1,7
14,2,69,0.0,0.0,100000.0,321632,0.0,0.0,2,2
14,1,63,0.0,0.0,221632.0,321632,40.0,2.0,2,1
14,1,77,0.0,0.0,343.0,343,0.0,0.0,2,1
14,2,81,4.0,26.0,0.0,343,0.0,0.0,1,2
14,2,92,4.0,18.0,0.0,883780,0.0,0.0,1,1
14,1,58,0.0,0.0,883780.0,883780,40.0,2.0,3,1
14,1,59,0.0,0.0,273926.0,273926,45.0,2.0,1,1
14,2,59,3.0,23.0,0.0,273926,0.0,0.0,2,1
14,2,25,0.0,0.0,0.0,273926,0.0,0.0,3,2
14,1,77,0.0,0.0,165858.0,388858,40.0,2.0,1,1
14,2,76,6.0,22.0,91000.0,388858,0.0,0.0,2,2
14,2,44,2.0,26.0,132000.0,388858,0.0,0.0,2,2
14,1,17,0.0,0.0,0.0,388858,0.0,0.0,2,2
14,2,8,0.0,0.0,0.0,388858,0.0,0.0,1,2
14,1,36,0.0,0.0,197820.0,337027,24.0,1.0,2,2
14,2,37,2.0,20.0,82425.0,337027,25.0,2.0,2,1
14,1,17,0.0,0.0,56782.0,337027,40.0,2.0,2,2
14,2,10,0.0,0.0,0.0,337027,0.0,0.0,1,2
14,2,72,7.0,20.0,0.0,531184,0.0,0.0,2,2
14,2,52,0.0,0.0,0.0,531184,0.0,0.0,2,1
14,1,43,0.0,0.0,243612.0,531184,48.0,2.0,2,1
14,2,42,0.0,0.0,287572.0,531184,60.0,2.0,2,1
14,1,40,0.0,0.0,2971880.0,3859322,50.0,1.0,4,1
