region,sexo,edad,s4,s5,yoprcor,yoprcorh,o10,o26,e6a
14.0,2.0,40.0,0.0,0.0,400000.0,400000.0,45.0,2.0,3.0
14.0,2.0,45.0,0.0,0.0,330000.0,330000.0,45.0,2.0,3.0
14.0,2.0,79.0,3.0,30.0,0.0,0.0,0.0,0.0,1.0
14.0,2.0,41.0,5.0,18.0,0.0,0.0,0.0,0.0,2.0
14.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14.0,2.0,28.0,0.0,0.0,96000.0,96000.0,16.0,1.0,3.0
14.0,2.0,44.0,3.0,18.0,70000.0,70000.0,30.0,2.0,3.0
14.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
14.0,2.0,32.0,2.0,19.0,250000.0,250000.0,45.0,2.0,2.0
14.0,1.0,35.0,2.0,22.0,250000.0,250000.0,45.0,2.0,1.0
14.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14.0,1.0,51.0,0.0,0.0,280000.0,280000.0,45.0,2.0,2.0
14.0,1.0,36.0,0.0,0.0,280000.0,280000.0,45.0,2.0,2.0
14.0,1.0,42.0,4.0,20.0,300000.0,300000.0,45.0,2.0,2.0
14.0,2.0,49.0,4.0,27.0,150000.0,150000.0,10.0,2.0,2.0
14.0,2.0,22.0,0.0,0.0,270000.0,270000.0,45.0,2.0,3.0
14.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
14.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
14.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14.0,2.0,38.0,3.0,19.0,200000.0,200000.0,6.0,2.0,2.0
14.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
14.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14.0,2.0,21.0,1.0,16.0,140000.0,140000.0,20.0,2.0,3.0
14.0,1.0,59.0,1.0,22.0,0.0,0.0,0.0,0.0,2.0
14.0,2.0,66.0,4.0,27.0,500000.0,500000.0,45.0,2.0,2.0
14.0,1.0,64.0,4.0,27.0,1200000.0,1200000.0,45.0,2.0,3.0
14.0,2.0,36.0,0.0,0.0,593269.0,593269.0,45.0,2.0,3.0
14.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
14.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
14.0,2.0,27.0,0.0,0.0,586604.0,586604.0,45.0,2.0,3.0
