region,sexo,edad,s4,s5,yoprcor,yoprcorh,o10,o26,e6a,folio,ecivil,pco2,nv
4.0,2.0,36.0,2.0,23.0,0.0,0.0,0.0,0.0,2.0,410110010201.0,2.0,1.0,27
4.0,1.0,37.0,2.0,24.0,600000.0,600000.0,45.0,2.0,2.0,410110010201.0,2.0,2.0,28
4.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,410110010201.0,8.0,4.0,99
4.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,410110010201.0,8.0,4.0,99
4.0,2.0,82.0,5.0,21.0,0.0,0.0,0.0,0.0,2.0,410110010401.0,7.0,1.0,99
4.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,410110010401.0,8.0,13.0,99
4.0,2.0,70.0,1.0,99.0,0.0,0.0,0.0,0.0,3.0,410110010701.0,6.0,1.0,99
4.0,2.0,42.0,3.0,18.0,700000.0,700000.0,45.0,2.0,2.0,410110010901.0,2.0,1.0,28
4.0,1.0,28.0,0.0,0.0,1200000.0,1200000.0,45.0,2.0,3.0,410110010901.0,2.0,2.0,99
4.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,410110010901.0,8.0,5.0,99
4.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,410110010901.0,8.0,5.0,99
4.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,410110010901.0,8.0,5.0,99
4.0,1.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,410110011001.0,5.0,1.0,99
4.0,2.0,32.0,1.0,28.0,112000.0,112000.0,10.0,2.0,3.0,410110020201.0,8.0,1.0,28
4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,410110020201.0,8.0,5.0,99
4.0,2.0,43.0,1.0,24.0,600000.0,600000.0,45.0,2.0,3.0,410110020301.0,5.0,1.0,24
4.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,410110020301.0,8.0,5.0,99
4.0,1.0,62.0,4.0,20.0,1200000.0,1200000.0,45.0,2.0,2.0,410110020501.0,5.0,1.0,33
4.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,410110020501.0,8.0,5.0,99
4.0,2.0,48.0,4.0,19.0,276000.0,276000.0,45.0,2.0,2.0,410110020601.0,8.0,1.0,28
4.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,410110020601.0,8.0,5.0,99
4.0,2.0,40.0,1.0,25.0,900000.0,900000.0,45.0,2.0,3.0,410110021101.0,8.0,1.0,25
4.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,410110021101.0,8.0,5.0,99
4.0,2.0,79.0,7.0,15.0,0.0,0.0,0.0,0.0,1.0,410110030301.0,7.0,1.0,99
4.0,1.0,59.0,2.0,29.0,650000.0,650000.0,45.0,2.0,2.0,410110030401.0,5.0,1.0,99
4.0,2.0,73.0,1.0,99.0,0.0,0.0,0.0,0.0,2.0,410110030501.0,7.0,1.0,64
4.0,1.0,45.0,1.0,36.0,260000.0,260000.0,45.0,2.0,3.0,410110030501.0,1.0,1.0,36
4.0,2.0,45.0,1.0,36.0,260000.0,260000.0,45.0,2.0,3.0,410110030501.0,1.0,2.0,36
4.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,410110030501.0,8.0,4.0,99
4.0,1.0,53.0,1.0,20.0,340000.0,340000.0,45.0,2.0,2.0,410110030601.0,2.0,1.0,99
4.0,2.0,85.0,4.0,19.0,0.0,0.0,0.0,0.0,2.0,410110030601.0,7.0,13.0,99
4.0,2.0,50.0,2.0,20.0,316000.0,316000.0,45.0,2.0,2.0,410110030601.0,2.0,2.0,99
4.0,2.0,86.0,7.0,20.0,0.0,0.0,0.0,0.0,1.0,410110030701.0,7.0,1.0,99
4.0,2.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,410110030701.0,8.0,13.0,99
4.0,2.0,55.0,0.0,0.0,164000.0,164000.0,48.0,2.0,1.0,410110030701.0,8.0,13.0,99
4.0,1.0,69.0,3.0,29.0,250000.0,250000.0,45.0,2.0,3.0,410110030801.0,1.0,1.0,45
4.0,2.0,63.0,4.0,20.0,0.0,0.0,0.0,0.0,2.0,410110030801.0,1.0,2.0,39
4.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,410110030801.0,8.0,4.0,99
4.0,2.0,80.0,1.0,30.0,0.0,0.0,0.0,0.0,3.0,410110030901.0,8.0,1.0,54
4.0,2.0,45.0,2.0,20.0,0.0,0.0,0.0,0.0,2.0,410110030901.0,6.0,1.0,19
4.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,410110030901.0,8.0,5.0,99
4.0,1.0,26.0,0.0,0.0,300000.0,300000.0,45.0,2.0,3.0,410110030901.0,8.0,5.0,99
4.0,1.0,47.0,2.0,25.0,200000.0,200000.0,45.0,2.0,3.0,410110031001.0,8.0,1.0,46
4.0,2.0,20.0,1.0,18.0,0.0,0.0,0.0,0.0,3.0,410110031001.0,8.0,1.0,19
4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,410110031001.0,8.0,5.0,99
4.0,2.0,90.0,3.0,21.0,0.0,0.0,0.0,0.0,1.0,410110040101.0,7.0,1.0,55
4.0,2.0,35.0,2.0,18.0,330000.0,330000.0,45.0,2.0,1.0,410110040101.0,5.0,5.0,99
4.0,1.0,50.0,2.0,32.0,450000.0,450000.0,30.0,2.0,2.0,410110040201.0,1.0,1.0,36
4.0,2.0,46.0,2.0,28.0,260000.0,260000.0,60.0,2.0,2.0,410110040201.0,1.0,2.0,32
4.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,410110040201.0,8.0,4.0,99
4.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,410110040201.0,8.0,4.0,99
4.0,2.0,57.0,3.0,19.0,270000.0,270000.0,60.0,2.0,2.0,410110040202.0,8.0,1.0,55
4.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,410110040202.0,8.0,5.0,99
4.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,410110040202.0,8.0,5.0,99
4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,410110040202.0,8.0,5.0,99
4.0,2.0,63.0,2.0,23.0,276000.0,276000.0,44.0,2.0,2.0,410110040301.0,7.0,1.0,99
4.0,2.0,74.0,3.0,22.0,0.0,0.0,0.0,0.0,2.0,410110040401.0,8.0,1.0,99
4.0,1.0,72.0,3.0,23.0,0.0,0.0,0.0,0.0,2.0,410110040401.0,7.0,13.0,99
4.0,2.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,410110050201.0,8.0,1.0,99
4.0,2.0,73.0,1.0,99.0,0.0,0.0,0.0,0.0,2.0,410110060301.0,1.0,1.0,99
4.0,1.0,76.0,1.0,99.0,0.0,0.0,0.0,0.0,2.0,410110060301.0,1.0,2.0,99
4.0,2.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,410110060401.0,7.0,1.0,99
4.0,2.0,73.0,1.0,32.0,0.0,0.0,0.0,0.0,3.0,410110070101.0,8.0,1.0,57
4.0,2.0,41.0,2.0,25.0,0.0,0.0,0.0,0.0,2.0,410110070101.0,8.0,1.0,25
4.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,410110070101.0,8.0,5.0,99
4.0,2.0,42.0,0.0,0.0,200000.0,200000.0,45.0,2.0,2.0,410110070301.0,8.0,1.0,99
4.0,2.0,88.0,1.0,39.0,0.0,0.0,0.0,0.0,2.0,410110070401.0,8.0,1.0,48
4.0,2.0,79.0,1.0,39.0,0.0,0.0,0.0,0.0,2.0,410110070401.0,8.0,1.0,39
4.0,2.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,410110070401.0,8.0,5.0,99
4.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,410110070401.0,8.0,5.0,99
4.0,2.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,410110080201.0,8.0,1.0,99
