region,sexo,edad,s5,s6,yoprcor,yoprcorh,o10,o27,e6a,folio,ecivil,pco2,nv
5,1,56,0.0,0.0,150000.0,300000,24.0,2.0,2,51011001021.0,1,1,99
5,2,56,5.0,15.0,150000.0,300000,24.0,2.0,2,51011001021.0,1,2,99
5,1,60,0.0,0.0,300000.0,860060,45.0,2.0,2,51011001031.0,1,1,36
5,2,48,2.0,15.0,0.0,860060,0.0,0.0,2,51011001031.0,1,2,24
5,1,31,0.0,0.0,350000.0,860060,45.0,2.0,2,51011001031.0,7,3,99
5,1,24,0.0,0.0,210060.0,860060,45.0,2.0,3,51011001031.0,7,3,99
5,1,34,0.0,0.0,0.0,0,0.0,0.0,1,51011001061.0,1,1,28
5,2,32,2.0,17.0,0.0,0,0.0,0.0,1,51011001061.0,1,2,26
5,1,14,0.0,0.0,0.0,0,0.0,0.0,2,51011001061.0,7,5,99
5,2,6,0.0,0.0,0.0,0,0.0,0.0,1,51011001061.0,7,3,99
5,1,25,0.0,0.0,280000.0,280000,45.0,2.0,2,51011001071.0,1,1,23
5,2,21,1.0,19.0,0.0,280000,0.0,0.0,3,51011001071.0,1,2,19
5,2,2,0.0,0.0,0.0,280000,0.0,0.0,1,51011001071.0,7,3,99
5,2,59,4.0,19.0,160000.0,160000,40.0,2.0,3,51011001081.0,3,1,44
5,2,15,0.0,0.0,0.0,160000,0.0,0.0,2,51011001081.0,7,4,99
5,2,76,4.0,22.0,0.0,375000,0.0,0.0,2,51011001111.0,6,1,99
5,1,51,0.0,0.0,190000.0,375000,45.0,2.0,2,51011001111.0,1,1,99
5,2,50,1.0,17.0,185000.0,375000,45.0,2.0,2,51011001111.0,1,2,99
5,1,70,0.0,0.0,0.0,300000,0.0,0.0,1,51011001121.0,1,1,29
5,2,70,2.0,29.0,0.0,300000,0.0,0.0,1,51011001121.0,1,2,29
5,2,41,0.0,0.0,300000.0,300000,12.0,2.0,3,51011001121.0,7,3,99
5,1,31,0.0,0.0,620000.0,620000,8.0,2.0,3,51011001141.0,1,1,99
5,2,38,0.0,0.0,0.0,620000,0.0,0.0,2,51011001141.0,1,2,99
5,2,56,9.0,16.0,0.0,120000,0.0,0.0,1,51011001161.0,6,1,55
5,2,22,1.0,20.0,120000.0,120000,5.0,2.0,2,51011001161.0,7,1,21
5,1,1,0.0,0.0,0.0,120000,0.0,0.0,1,51011001161.0,7,4,99
5,2,12,0.0,0.0,0.0,120000,0.0,0.0,1,51011001161.0,7,12,99
5,2,78,10.0,17.0,0.0,0,0.0,0.0,2,51011001171.0,6,1,99
5,1,82,0.0,0.0,0.0,0,0.0,0.0,1,51011001191.0,4,1,99
5,1,42,0.0,0.0,250000.0,250000,90.0,2.0,2,51011001201.0,7,1,99
5,2,63,2.0,21.0,600000.0,600000,20.0,2.0,3,51011001211.0,2,1,99
5,1,63,0.0,0.0,0.0,600000,0.0,0.0,2,51011001211.0,2,2,99
5,2,9,0.0,0.0,0.0,600000,0.0,0.0,1,51011001211.0,7,12,99
5,1,7,0.0,0.0,0.0,600000,0.0,0.0,1,51011001211.0,7,12,99
5,1,28,0.0,0.0,200000.0,200000,45.0,2.0,2,51011002011.0,2,1,24
5,2,21,1.0,17.0,0.0,200000,0.0,0.0,2,51011002011.0,2,2,17
5,2,4,0.0,0.0,0.0,200000,0.0,0.0,1,51011002011.0,7,3,99
5,1,60,0.0,0.0,180000.0,360000,56.0,2.0,2,51011002021.0,2,1,34
5,2,61,9.0,13.0,0.0,360000,0.0,0.0,1,51011002021.0,2,2,38
5,2,23,0.0,0.0,180000.0,360000,48.0,2.0,2,51011002021.0,7,5,99
5,1,26,0.0,0.0,0.0,360000,0.0,0.0,2,51011002021.0,7,4,99
5,1,52,0.0,0.0,250000.0,470770,45.0,2.0,2,51011002051.0,1,1,33
5,2,52,3.0,25.0,0.0,470770,0.0,0.0,3,51011002051.0,1,2,33
5,1,25,0.0,0.0,220770.0,470770,45.0,2.0,2,51011002051.0,7,3,99
5,1,22,0.0,0.0,0.0,470770,0.0,0.0,3,51011002051.0,7,3,99
5,1,19,0.0,0.0,0.0,470770,0.0,0.0,3,51011002051.0,7,3,99
5,2,47,3.0,17.0,210000.0,540000,56.0,2.0,2,51011002071.0,4,1,47
5,2,17,1.0,16.0,0.0,540000,0.0,0.0,1,51011002071.0,2,2,17
5,1,18,0.0,0.0,80000.0,540000,45.0,2.0,2,51011002071.0,2,1,18
5,1,18,0.0,0.0,250000.0,540000,45.0,2.0,2,51011002071.0,7,4,99
5,1,0,0.0,0.0,0.0,540000,0.0,0.0,1,51011002071.0,7,3,99
5,1,76,0.0,0.0,0.0,0,0.0,0.0,2,51011002081.0,4,1,99
5,1,93,0.0,0.0,0.0,0,0.0,0.0,1,51011003011.0,6,1,99
5,2,83,4.0,19.0,0.0,0,0.0,0.0,2,51011003011.0,6,12,99
5,1,49,0.0,0.0,300000.0,554000,45.0,2.0,3,51011003021.0,1,1,31
5,2,50,2.0,30.0,254000.0,554000,45.0,2.0,3,51011003021.0,1,2,32
5,2,19,0.0,0.0,0.0,554000,0.0,0.0,3,51011003021.0,7,3,99
5,1,18,0.0,0.0,0.0,554000,0.0,0.0,2,51011003021.0,7,3,99
5,1,63,0.0,0.0,305769.0,305769,48.0,2.0,2,51011003031.0,1,1,57
5,2,61,3.0,21.0,0.0,305769,0.0,0.0,1,51011003031.0,1,2,21
5,2,40,1.0,34.0,0.0,305769,0.0,0.0,3,51011003031.0,7,3,99
