region,sexo,edad,s4,s5,yoprcor,yoprcorh,o10,o26,e6a
12.0,1.0,62.0,2.0,23.0,1000000.0,1000000.0,45.0,2.0,1.0
12.0,2.0,61.0,2.0,20.0,0.0,0.0,0.0,0.0,1.0
12.0,1.0,64.0,2.0,36.0,400000.0,400000.0,40.0,2.0,2.0
12.0,2.0,28.0,0.0,0.0,500000.0,500000.0,44.0,2.0,3.0
12.0,2.0,55.0,2.0,27.0,0.0,0.0,0.0,0.0,3.0
12.0,1.0,49.0,0.0,0.0,1100000.0,1100000.0,48.0,2.0,3.0
12.0,2.0,53.0,0.0,0.0,700000.0,700000.0,20.0,2.0,3.0
12.0,1.0,62.0,2.0,32.0,150000.0,150000.0,30.0,2.0,3.0
12.0,2.0,57.0,2.0,27.0,100000.0,100000.0,30.0,2.0,3.0
12.0,2.0,57.0,4.0,17.0,300000.0,300000.0,8.0,2.0,99.0
12.0,1.0,60.0,3.0,19.0,500000.0,500000.0,48.0,2.0,1.0
12.0,1.0,68.0,1.0,21.0,0.0,0.0,0.0,0.0,2.0
12.0,2.0,73.0,2.0,99.0,0.0,0.0,0.0,0.0,1.0
12.0,2.0,36.0,2.0,20.0,280000.0,280000.0,44.0,2.0,2.0
12.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
12.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12.0,1.0,28.0,0.0,0.0,1700000.0,1700000.0,48.0,2.0,2.0
12.0,1.0,30.0,0.0,0.0,1000000.0,1000000.0,24.0,2.0,3.0
12.0,2.0,28.0,0.0,0.0,1000000.0,1000000.0,40.0,2.0,3.0
12.0,1.0,63.0,4.0,21.0,520000.0,520000.0,45.0,2.0,3.0
12.0,2.0,67.0,4.0,24.0,0.0,0.0,0.0,0.0,2.0
12.0,1.0,61.0,4.0,24.0,1500000.0,1500000.0,42.0,2.0,2.0
12.0,2.0,34.0,1.0,29.0,800000.0,800000.0,40.0,2.0,3.0
12.0,2.0,55.0,4.0,19.0,0.0,0.0,0.0,0.0,3.0
12.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12.0,2.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12.0,2.0,41.0,1.0,28.0,300000.0,300000.0,45.0,2.0,2.0
12.0,1.0,51.0,3.0,22.0,300000.0,300000.0,45.0,2.0,3.0
12.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12.0,1.0,33.0,0.0,0.0,300000.0,300000.0,45.0,2.0,2.0
12.0,1.0,29.0,1.0,25.0,600000.0,600000.0,44.0,2.0,3.0
12.0,1.0,52.0,2.0,20.0,750000.0,750000.0,45.0,2.0,3.0
12.0,2.0,52.0,2.0,20.0,0.0,0.0,0.0,0.0,2.0
12.0,1.0,65.0,2.0,23.0,0.0,0.0,0.0,0.0,3.0
12.0,2.0,63.0,3.0,20.0,0.0,0.0,0.0,0.0,3.0
12.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
12.0,1.0,59.0,3.0,26.0,0.0,0.0,0.0,0.0,3.0
12.0,2.0,57.0,3.0,22.0,0.0,0.0,0.0,0.0,2.0
12.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
12.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
12.0,1.0,34.0,0.0,0.0,851433.0,851433.0,44.0,2.0,3.0
12.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
12.0,2.0,52.0,2.0,20.0,0.0,0.0,0.0,0.0,2.0
12.0,1.0,60.0,2.0,25.0,300000.0,300000.0,18.0,2.0,2.0
